Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Sphere
2,0,1465,2,6,Sphere
3,0,1321,2,11,Sphere
4,0,1430,2,16,Sphere
5,1,1299,2,21,Sphere
6,1,1694,4,26,Sphere
7,1,1566,6,31,Sphere
8,1,1430,6,36,Sphere
9,1,1403,8,41,Sphere
10,1,1370,12,46,Sphere
11,1,1329,12,51,Sphere
12,1,1657,18,56,Sphere
13,1,1449,26,61,Sphere
14,1,1617,28,66,Sphere
15,2,1408,32,71,Sphere
16,2,1241,42,76,Sphere
17,2,1914,52,81,Sphere
18,2,1819,54,86,Sphere
19,2,1276,58,91,Sphere
20,2,1523,64,96,Sphere
21,2,1380,68,101,Sphere
22,2,1308,79,106,Sphere
23,2,1809,85,111,Sphere
24,2,1746,102,116,Sphere
25,3,1333,119,121,Sphere
26,3,1440,139,126,Sphere
27,3,1268,158,131,Sphere
28,3,1360,197,136,Sphere
29,3,749,225,141,Sphere
30,3,928,268,146,Sphere
31,3,1003,306,151,Sphere
32,3,863,368,156,Sphere
33,3,971,408,161,Sphere
34,3,1358,465,166,Sphere
35,3,1254,518,171,Sphere
36,4,1231,586,176,Sphere
37,4,1067,656,181,Sphere
38,4,1078,756,186,Sphere
39,4,1063,848,191,Sphere
40,4,1410,915,196,Sphere
41,4,1328,1011,201,Sphere
42,4,1380,1109,206,Sphere
43,4,1324,1189,211,Sphere
44,4,1164,1278,216,Sphere
45,4,1264,1360,221,Sphere
46,5,1157,1452,226,Sphere
47,5,1342,1526,231,Sphere
48,5,1363,1628,236,Sphere
49,5,1187,1714,241,Sphere
50,5,1245,1800,246,Sphere
51,5,1480,1912,251,Sphere
52,5,1096,2029,256,Sphere
53,5,1176,2133,261,Sphere
54,5,1148,2223,266,Sphere
55,5,1158,2366,271,Sphere
56,6,1241,2472,276,Sphere
57,6,1194,2600,281,Sphere
58,6,1206,2713,286,Sphere
59,6,1345,2857,291,Sphere
60,6,1218,2966,296,Sphere
61,6,1295,3110,301,Sphere
62,6,709,3246,306,Sphere
63,6,999,3409,311,Sphere
64,6,756,3569,316,Sphere
65,6,798,3741,321,Sphere
66,7,718,3920,326,Sphere
67,7,831,4090,331,Sphere
68,7,1153,4249,336,Sphere
69,7,952,4444,341,Sphere
70,7,921,4598,346,Sphere
71,7,1033,4775,351,Sphere
72,7,921,4940,356,Sphere
73,7,956,5135,361,Sphere
74,7,986,5278,366,Sphere
75,7,1183,5471,371,Sphere
76,8,1038,5648,376,Sphere
77,8,999,5836,381,Sphere
78,8,968,6019,386,Sphere
79,8,1098,6200,391,Sphere
80,8,1008,6439,396,Sphere
81,8,1034,6659,401,Sphere
82,8,1006,6863,406,Sphere
83,8,925,7067,411,Sphere
84,8,1088,7306,416,Sphere
85,8,1015,7528,421,Sphere
86,9,981,7735,426,Sphere
87,9,991,7939,431,Sphere
88,9,946,8170,436,Sphere
89,9,1009,8374,441,Sphere
90,9,1185,8585,446,Sphere
91,9,977,8807,451,Sphere
92,9,1131,9034,456,Sphere
93,9,894,9285,461,Sphere
94,9,1045,9558,466,Sphere
95,10,769,9831,471,Sphere
96,10,775,10119,476,Sphere
97,10,707,10355,481,Sphere
98,10,783,10564,486,Sphere
99,10,710,10782,491,Sphere
100,10,775,11008,496,Sphere
101,10,956,11313,501,Sphere
102,10,949,11559,506,Sphere
103,10,733,11826,511,Sphere
104,10,930,12098,516,Sphere
105,11,905,12357,521,Sphere
106,11,857,12633,526,Sphere
107,11,969,12895,531,Sphere
108,11,962,13161,536,Sphere
109,11,948,13448,541,Sphere
110,11,889,13745,546,Sphere
111,11,945,14045,551,Sphere
112,11,958,14313,556,Sphere
113,11,867,14609,561,Sphere
114,11,894,14899,566,Sphere
115,12,906,15138,571,Sphere
116,12,781,15399,576,Sphere
117,12,839,15660,581,Sphere
118,12,960,15943,586,Sphere
119,12,940,16228,591,Sphere
120,12,913,16546,596,Sphere
121,12,926,16860,601,Sphere
122,12,911,17181,606,Sphere
123,12,926,17491,611,Sphere
124,12,987,17788,616,Sphere
125,13,882,18141,621,Sphere
126,13,634,18486,626,Sphere
127,13,690,18799,631,Sphere
128,13,663,19134,636,Sphere
129,13,708,19489,641,Sphere
130,13,750,19812,646,Sphere
131,13,746,20214,651,Sphere
132,13,806,20578,656,Sphere
133,13,579,20961,661,Sphere
134,13,933,21295,666,Sphere
135,14,858,21606,671,Sphere
136,14,824,21965,676,Sphere
137,14,814,22316,681,Sphere
138,14,865,22630,686,Sphere
139,14,764,23048,691,Sphere
140,14,828,23410,696,Sphere
141,14,820,23797,701,Sphere
142,14,763,24216,706,Sphere
143,14,798,24523,711,Sphere
144,14,702,24889,716,Sphere
145,15,704,25313,721,Sphere
146,15,754,25722,726,Sphere
147,15,766,26129,731,Sphere
148,15,745,26517,736,Sphere
149,15,771,26855,741,Sphere
150,15,787,27268,746,Sphere
151,15,867,27634,751,Sphere
152,15,805,28001,756,Sphere
153,15,817,28393,761,Sphere
154,15,717,28814,766,Sphere
155,16,669,29241,771,Sphere
156,16,709,29634,776,Sphere
157,16,718,30088,781,Sphere
158,16,581,30493,786,Sphere
159,16,608,30899,791,Sphere
160,16,773,31312,796,Sphere
161,16,674,31657,801,Sphere
162,16,649,32081,806,Sphere
163,16,608,32524,811,Sphere
164,16,594,33029,816,Sphere
165,17,589,33520,821,Sphere
166,17,579,34041,826,Sphere
167,17,713,34476,831,Sphere
168,17,724,34862,836,Sphere
169,17,796,35315,841,Sphere
170,17,751,35741,846,Sphere
171,17,701,36201,851,Sphere
172,17,702,36694,856,Sphere
173,17,614,37139,861,Sphere
174,17,677,37568,866,Sphere
175,18,691,38051,871,Sphere
176,18,676,38527,876,Sphere
177,18,644,38963,881,Sphere
178,18,634,39391,886,Sphere
179,18,662,39836,891,Sphere
180,18,638,40313,896,Sphere
181,18,613,40834,901,Sphere
182,18,610,41361,906,Sphere
183,18,620,41845,911,Sphere
184,18,570,42308,916,Sphere
185,19,625,42739,921,Sphere
186,19,648,43276,926,Sphere
187,19,624,43810,931,Sphere
188,19,654,44297,936,Sphere
189,19,680,44777,941,Sphere
190,19,629,45287,946,Sphere
191,19,519,45738,951,Sphere
192,19,496,46226,956,Sphere
193,19,630,46760,961,Sphere
194,19,527,47370,966,Sphere
195,20,593,47881,971,Sphere
196,20,627,48391,976,Sphere
197,20,572,48862,981,Sphere
198,20,493,49359,986,Sphere
199,20,603,49883,991,Sphere
200,20,546,50409,996,Sphere
201,20,628,50947,1001,Sphere
202,20,535,51443,1006,Sphere
203,20,599,52047,1011,Sphere
204,20,534,52633,1016,Sphere
205,21,591,53169,1021,Sphere
206,21,582,53723,1026,Sphere
207,21,566,54271,1031,Sphere
208,21,605,54757,1036,Sphere
209,21,567,55337,1041,Sphere
210,21,619,55884,1046,Sphere
211,21,612,56542,1051,Sphere
212,21,624,57117,1056,Sphere
213,21,642,57679,1061,Sphere
214,21,557,58172,1066,Sphere
215,22,602,58677,1071,Sphere
216,22,570,59277,1076,Sphere
217,22,598,59825,1081,Sphere
218,22,550,60377,1086,Sphere
219,22,612,60953,1091,Sphere
220,22,507,61558,1096,Sphere
221,22,592,62144,1101,Sphere
222,22,601,62680,1106,Sphere
223,22,588,63223,1111,Sphere
224,22,604,63769,1116,Sphere
225,23,455,64366,1121,Sphere
226,23,494,64960,1126,Sphere
227,23,532,65568,1131,Sphere
228,23,513,66147,1136,Sphere
229,23,462,66711,1141,Sphere
230,23,545,67325,1146,Sphere
231,23,529,67943,1151,Sphere
232,23,462,68520,1156,Sphere
233,23,564,69074,1161,Sphere
234,23,563,69674,1166,Sphere
235,24,594,70313,1171,Sphere
236,24,608,70996,1176,Sphere
237,24,550,71651,1181,Sphere
238,24,561,72235,1186,Sphere
239,24,541,72819,1191,Sphere
240,24,532,73496,1196,Sphere
241,24,555,74098,1201,Sphere
