Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Sphere
2,0,1645,2,6,Sphere
3,0,1556,2,11,Sphere
4,0,1506,2,16,Sphere
5,1,1661,2,21,Sphere
6,1,1354,4,26,Sphere
7,1,2003,6,31,Sphere
8,1,1875,6,36,Sphere
9,1,1834,8,41,Sphere
10,1,1254,12,46,Sphere
11,1,1177,12,51,Sphere
12,1,1286,18,56,Sphere
13,1,834,26,61,Sphere
14,1,980,28,66,Sphere
15,2,888,32,71,Sphere
16,2,942,42,76,Sphere
17,2,1015,52,81,Sphere
18,2,1111,54,86,Sphere
19,2,1313,58,91,Sphere
20,2,1223,64,96,Sphere
21,2,1046,68,101,Sphere
22,2,1134,79,106,Sphere
23,2,1080,85,111,Sphere
24,2,1164,102,116,Sphere
25,3,1454,119,121,Sphere
26,3,1460,139,126,Sphere
27,3,1370,158,131,Sphere
28,3,1217,197,136,Sphere
29,3,1146,225,141,Sphere
30,3,1186,265,146,Sphere
31,3,1565,300,151,Sphere
32,3,1195,359,156,Sphere
33,3,1375,407,161,Sphere
34,3,1371,452,166,Sphere
35,3,1072,514,171,Sphere
36,4,991,580,176,Sphere
37,4,1253,650,181,Sphere
38,4,1334,769,186,Sphere
39,4,1448,850,191,Sphere
40,4,1459,935,196,Sphere
41,4,1273,1017,201,Sphere
42,4,1125,1111,206,Sphere
43,4,1312,1201,211,Sphere
44,4,705,1303,216,Sphere
45,4,1338,1412,221,Sphere
46,5,840,1515,226,Sphere
47,5,819,1588,231,Sphere
48,5,918,1675,236,Sphere
49,5,1025,1745,241,Sphere
50,5,890,1841,246,Sphere
51,5,887,1943,251,Sphere
52,5,1089,2048,256,Sphere
53,5,1139,2192,261,Sphere
54,5,957,2349,266,Sphere
55,5,1084,2458,271,Sphere
56,6,834,2546,276,Sphere
57,6,933,2667,281,Sphere
58,6,897,2793,286,Sphere
59,6,1151,2953,291,Sphere
60,6,1095,3060,296,Sphere
61,6,1157,3223,301,Sphere
62,6,942,3376,306,Sphere
63,6,1059,3544,311,Sphere
64,6,1118,3693,316,Sphere
65,6,1121,3845,321,Sphere
66,7,1176,4030,326,Sphere
67,7,1065,4168,331,Sphere
