Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Capsule
2,0,1856,2,6,Capsule
3,0,1613,2,11,Capsule
4,0,1555,2,16,Capsule
5,1,1271,2,21,Capsule
6,1,2003,4,26,Capsule
7,1,1839,6,31,Capsule
8,1,1750,6,36,Capsule
9,1,1502,8,41,Capsule
10,1,1352,12,46,Capsule
11,1,1387,12,51,Capsule
12,1,1449,16,56,Capsule
13,1,1809,24,61,Capsule
14,1,961,26,66,Capsule
15,2,957,30,71,Capsule
16,2,944,42,76,Capsule
17,2,901,50,81,Capsule
18,2,989,50,86,Capsule
19,2,919,52,91,Capsule
20,2,1361,56,96,Capsule
21,2,1114,60,101,Capsule
22,2,1182,69,106,Capsule
23,2,1260,75,111,Capsule
24,2,1065,92,116,Capsule
25,3,1042,109,121,Capsule
26,3,1538,126,126,Capsule
27,3,1304,147,131,Capsule
28,3,1242,190,136,Capsule
29,3,1091,223,141,Capsule
30,3,1130,254,146,Capsule
31,3,988,275,151,Capsule
32,3,1052,326,156,Capsule
33,3,879,373,161,Capsule
34,3,1330,427,166,Capsule
35,3,1105,499,171,Capsule
36,4,1364,587,176,Capsule
37,4,1268,655,181,Capsule
38,4,1161,748,186,Capsule
39,4,1330,815,191,Capsule
40,4,1218,899,196,Capsule
41,4,1109,1015,201,Capsule
42,4,1391,1108,206,Capsule
43,4,1232,1204,211,Capsule
44,4,478,1284,216,Capsule
45,4,1213,1403,221,Capsule
46,5,852,1525,226,Capsule
47,5,1353,1608,231,Capsule
48,5,951,1702,236,Capsule
49,5,841,1770,241,Capsule
50,5,922,1882,246,Capsule
51,5,853,1946,250,Capsule
52,5,941,2048,250,Capsule
53,5,1333,2179,250,Capsule
54,5,1090,2304,250,Capsule
55,5,1036,2463,250,Capsule
56,6,1054,2588,250,Capsule
57,6,1127,2721,250,Capsule
58,6,983,2877,250,Capsule
59,6,1228,2994,250,Capsule
60,6,1437,3143,250,Capsule
61,6,1011,3298,250,Capsule
62,6,1019,3421,250,Capsule
63,6,1150,3575,250,Capsule
64,6,1071,3753,250,Capsule
65,6,1200,3893,250,Capsule
66,7,1398,4041,250,Capsule
67,7,1324,4154,250,Capsule
68,7,1154,4318,250,Capsule
69,7,1209,4500,250,Capsule
70,7,1215,4675,250,Capsule
71,7,1094,4846,250,Capsule
72,7,1270,5038,250,Capsule
73,7,1443,5163,250,Capsule
74,7,1298,5297,250,Capsule
75,7,1399,5418,250,Capsule
76,8,1286,5526,250,Capsule
77,8,691,5611,250,Capsule
78,8,1349,5694,250,Capsule
79,8,1379,5766,250,Capsule
80,8,967,5849,250,Capsule
81,8,979,5955,250,Capsule
82,8,1030,6100,250,Capsule
83,8,1043,6208,250,Capsule
84,8,866,6314,250,Capsule
85,8,244,6420,250,Capsule
86,9,1349,6560,250,Capsule
87,9,1293,6661,250,Capsule
88,9,959,6763,250,Capsule
89,9,986,6909,250,Capsule
90,9,949,7017,250,Capsule
91,9,1117,7115,250,Capsule
92,9,1390,7235,250,Capsule
93,9,1333,7315,250,Capsule
94,9,1223,7473,250,Capsule
95,10,1084,7589,250,Capsule
96,10,310,7701,250,Capsule
97,10,1018,7807,250,Capsule
98,10,937,7896,250,Capsule
99,10,978,8001,250,Capsule
100,10,1020,8109,250,Capsule
