Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Capsule
2,0,1934,2,6,Capsule
3,0,1528,2,11,Capsule
4,0,1833,2,16,Capsule
5,1,1532,2,21,Capsule
6,1,1852,4,26,Capsule
7,1,1513,6,31,Capsule
8,1,1421,6,36,Capsule
9,1,1685,8,41,Capsule
10,1,1469,12,46,Capsule
11,1,1488,12,51,Capsule
12,1,1802,16,56,Capsule
13,1,1015,24,61,Capsule
14,1,903,26,66,Capsule
15,2,984,30,71,Capsule
16,2,1137,42,76,Capsule
17,2,1132,50,81,Capsule
18,2,784,50,86,Capsule
19,2,1359,52,91,Capsule
20,2,1324,56,96,Capsule
21,2,1168,60,101,Capsule
22,2,1171,69,106,Capsule
23,2,1130,75,111,Capsule
24,2,1062,92,116,Capsule
25,3,1494,111,121,Capsule
26,3,1379,128,126,Capsule
27,3,1251,149,131,Capsule
28,3,1236,192,136,Capsule
29,3,1193,225,141,Capsule
30,3,1258,256,146,Capsule
31,3,1380,277,151,Capsule
32,3,1323,326,156,Capsule
33,3,1368,376,161,Capsule
34,3,1279,429,166,Capsule
35,3,1319,518,171,Capsule
36,4,1429,599,176,Capsule
37,4,1504,666,181,Capsule
38,4,1001,759,186,Capsule
39,4,1361,855,191,Capsule
40,4,1307,948,196,Capsule
41,4,1554,1054,201,Capsule
42,4,1290,1141,206,Capsule
43,4,1477,1243,211,Capsule
44,4,1346,1341,216,Capsule
45,4,1416,1429,221,Capsule
46,5,829,1522,226,Capsule
47,5,1013,1616,231,Capsule
48,5,941,1683,236,Capsule
49,5,1021,1784,241,Capsule
50,5,953,1890,246,Capsule
51,5,859,1983,250,Capsule
52,5,1191,2088,250,Capsule
53,5,1319,2230,250,Capsule
54,5,936,2338,250,Capsule
55,5,1081,2476,250,Capsule
56,6,1020,2589,250,Capsule
57,6,1186,2744,250,Capsule
58,6,1225,2888,250,Capsule
59,6,1303,3030,250,Capsule
60,6,1146,3120,250,Capsule
61,6,1150,3248,250,Capsule
62,6,1147,3395,250,Capsule
63,6,1204,3552,250,Capsule
64,6,1101,3700,250,Capsule
65,6,1274,3856,250,Capsule
66,7,1246,4011,250,Capsule
67,7,1243,4167,250,Capsule
68,7,1199,4331,250,Capsule
69,7,1257,4482,250,Capsule
70,7,1228,4640,250,Capsule
71,7,1017,4810,250,Capsule
72,7,1060,4977,250,Capsule
73,7,278,5102,250,Capsule
74,7,1260,5234,250,Capsule
75,7,1251,5335,250,Capsule
76,8,1380,5429,250,Capsule
77,8,1267,5551,250,Capsule
78,8,818,5666,250,Capsule
79,8,803,5800,250,Capsule
80,8,967,5925,250,Capsule
81,8,811,6020,250,Capsule
82,8,1006,6126,250,Capsule
83,8,918,6228,250,Capsule
84,8,931,6353,250,Capsule
85,8,1355,6497,250,Capsule
86,9,273,6604,250,Capsule
87,9,976,6709,250,Capsule
88,9,266,6784,250,Capsule
89,9,1015,6915,250,Capsule
90,9,946,7023,250,Capsule
91,9,996,7148,250,Capsule
92,9,1180,7284,250,Capsule
93,9,1253,7423,250,Capsule
94,9,1100,7541,250,Capsule
95,10,938,7642,250,Capsule
96,10,959,7732,250,Capsule
97,10,917,7825,250,Capsule
98,10,1001,7923,250,Capsule
99,10,1260,8054,250,Capsule
100,10,1298,8143,250,Capsule
