Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Capsule
2,0,1657,2,6,Capsule
3,0,1945,2,11,Capsule
4,0,1863,2,16,Capsule
5,1,1757,2,21,Capsule
6,1,1438,4,26,Capsule
7,1,1162,6,31,Capsule
8,1,1941,6,36,Capsule
9,1,1604,8,41,Capsule
10,1,1378,12,46,Capsule
11,1,1458,12,51,Capsule
12,1,1668,16,56,Capsule
13,1,1834,24,61,Capsule
14,1,1035,26,66,Capsule
15,2,1007,30,71,Capsule
16,2,983,42,76,Capsule
17,2,824,50,81,Capsule
18,2,883,50,86,Capsule
19,2,1242,52,91,Capsule
20,2,1286,56,96,Capsule
21,2,1201,60,101,Capsule
22,2,1205,69,106,Capsule
23,2,1259,75,111,Capsule
24,2,1533,92,116,Capsule
25,3,1533,109,121,Capsule
26,3,1181,126,126,Capsule
27,3,1090,147,131,Capsule
28,3,1144,190,136,Capsule
29,3,1127,223,141,Capsule
30,3,1509,252,146,Capsule
31,3,1507,275,151,Capsule
32,3,1258,328,156,Capsule
33,3,1317,376,161,Capsule
34,3,1320,433,166,Capsule
35,3,1307,503,171,Capsule
36,4,1290,592,176,Capsule
37,4,1200,674,181,Capsule
38,4,1357,780,186,Capsule
39,4,1372,856,191,Capsule
40,4,1264,942,196,Capsule
41,4,1254,1072,201,Capsule
42,4,1240,1179,206,Capsule
43,4,1524,1257,211,Capsule
44,4,1330,1337,216,Capsule
45,4,1343,1447,221,Capsule
46,5,811,1557,226,Capsule
47,5,836,1634,231,Capsule
48,5,1012,1711,236,Capsule
49,5,784,1779,241,Capsule
50,5,931,1856,246,Capsule
51,5,1027,1950,250,Capsule
52,5,1298,2054,250,Capsule
53,5,1000,2181,250,Capsule
54,5,1042,2300,250,Capsule
55,5,263,2434,250,Capsule
56,6,1008,2539,250,Capsule
57,6,1041,2654,250,Capsule
58,6,1339,2779,250,Capsule
59,6,1225,2927,250,Capsule
60,6,1234,3089,250,Capsule
61,6,1157,3218,250,Capsule
62,6,1141,3357,250,Capsule
63,6,1070,3524,250,Capsule
64,6,1388,3700,250,Capsule
65,6,1301,3838,250,Capsule
66,7,1278,3972,250,Capsule
67,7,1201,4121,250,Capsule
68,7,1258,4266,250,Capsule
69,7,1365,4440,250,Capsule
70,7,1446,4608,250,Capsule
71,7,1278,4781,250,Capsule
72,7,1316,4941,250,Capsule
73,7,1276,5051,250,Capsule
74,7,1300,5196,250,Capsule
75,7,1401,5301,250,Capsule
76,8,1459,5450,250,Capsule
77,8,1091,5534,250,Capsule
78,8,1091,5680,250,Capsule
79,8,1298,5827,250,Capsule
80,8,377,5920,250,Capsule
81,8,1048,6028,250,Capsule
82,8,1070,6134,250,Capsule
83,8,1036,6247,250,Capsule
84,8,840,6352,250,Capsule
85,8,1257,6442,250,Capsule
86,9,1152,6541,250,Capsule
87,9,371,6629,250,Capsule
88,9,1021,6729,250,Capsule
89,9,938,6841,250,Capsule
90,9,1028,6932,250,Capsule
91,9,999,7029,250,Capsule
92,9,1229,7108,250,Capsule
93,9,1058,7209,250,Capsule
94,9,1098,7320,250,Capsule
95,10,992,7424,250,Capsule
96,10,950,7526,250,Capsule
97,10,1134,7622,250,Capsule
98,10,1362,7728,250,Capsule
99,10,279,7855,250,Capsule
100,10,1080,7965,250,Capsule
