Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Capsule
2,0,1850,2,6,Capsule
3,0,1636,2,11,Capsule
4,0,1657,2,16,Capsule
5,1,1512,2,21,Capsule
6,1,1427,4,26,Capsule
7,1,1686,6,31,Capsule
8,1,1501,6,36,Capsule
9,1,1527,8,41,Capsule
10,1,1459,12,46,Capsule
11,1,1441,12,51,Capsule
12,1,1791,16,56,Capsule
13,1,1340,24,61,Capsule
14,1,901,26,66,Capsule
15,2,919,30,71,Capsule
16,2,870,42,76,Capsule
17,2,894,50,81,Capsule
18,2,859,50,86,Capsule
19,2,1457,52,91,Capsule
20,2,1307,56,96,Capsule
21,2,1080,60,101,Capsule
22,2,1111,69,106,Capsule
23,2,1190,75,111,Capsule
24,2,1067,92,116,Capsule
25,3,1512,109,121,Capsule
26,3,1439,126,126,Capsule
27,3,1147,147,131,Capsule
28,3,1185,190,136,Capsule
29,3,1120,223,141,Capsule
30,3,1574,254,146,Capsule
31,3,1500,275,151,Capsule
32,3,1464,326,156,Capsule
33,3,1213,371,161,Capsule
34,3,1289,427,166,Capsule
35,3,1274,493,171,Capsule
36,4,1160,583,176,Capsule
37,4,1598,654,181,Capsule
38,4,1436,750,186,Capsule
39,4,1598,815,191,Capsule
40,4,1547,908,196,Capsule
41,4,1509,1000,201,Capsule
42,4,1308,1105,206,Capsule
43,4,1334,1203,211,Capsule
44,4,1448,1279,216,Capsule
45,4,1175,1366,221,Capsule
46,5,874,1474,226,Capsule
47,5,824,1563,231,Capsule
48,5,999,1658,236,Capsule
49,5,895,1739,241,Capsule
50,5,926,1840,246,Capsule
51,5,985,1921,250,Capsule
52,5,1384,2029,250,Capsule
53,5,1103,2152,250,Capsule
54,5,1095,2236,250,Capsule
55,5,1084,2370,250,Capsule
56,6,1131,2497,250,Capsule
57,6,1076,2604,250,Capsule
58,6,1119,2714,250,Capsule
59,6,1245,2845,250,Capsule
60,6,1195,2975,250,Capsule
61,6,1114,3098,250,Capsule
62,6,1091,3230,250,Capsule
63,6,1025,3406,250,Capsule
64,6,1133,3554,250,Capsule
65,6,1114,3678,250,Capsule
66,7,1367,3841,250,Capsule
67,7,1291,3981,250,Capsule
68,7,1284,4142,250,Capsule
69,7,481,4305,250,Capsule
70,7,1186,4455,250,Capsule
71,7,1433,4615,250,Capsule
72,7,1444,4773,250,Capsule
73,7,1078,4903,250,Capsule
74,7,1398,4994,250,Capsule
75,7,1258,5120,250,Capsule
76,8,1211,5239,250,Capsule
77,8,1220,5376,250,Capsule
78,8,786,5501,250,Capsule
79,8,823,5620,250,Capsule
80,8,831,5719,250,Capsule
81,8,900,5812,250,Capsule
82,8,813,5919,250,Capsule
83,8,909,6009,250,Capsule
84,8,857,6097,250,Capsule
85,8,1145,6213,250,Capsule
86,9,1218,6310,250,Capsule
87,9,1040,6399,250,Capsule
88,9,1096,6512,250,Capsule
89,9,1029,6611,250,Capsule
90,9,1000,6711,250,Capsule
91,9,1042,6840,250,Capsule
92,9,1272,6947,250,Capsule
93,9,1160,7087,250,Capsule
94,9,1140,7170,250,Capsule
95,10,1151,7276,250,Capsule
96,10,1042,7410,250,Capsule
97,10,1052,7526,250,Capsule
98,10,1293,7641,250,Capsule
99,10,1200,7745,250,Capsule
100,10,1098,7844,250,Capsule
