Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Capsule
2,0,1570,2,6,Capsule
3,0,1473,2,11,Capsule
4,0,1482,2,16,Capsule
5,1,1396,2,21,Capsule
6,1,1918,4,26,Capsule
7,1,1512,6,31,Capsule
8,1,1844,6,36,Capsule
9,1,1555,8,41,Capsule
10,1,1896,12,46,Capsule
11,1,1502,12,51,Capsule
12,1,1800,16,56,Capsule
13,1,851,24,61,Capsule
14,1,1054,26,66,Capsule
15,2,1006,30,71,Capsule
16,2,823,42,76,Capsule
17,2,996,50,81,Capsule
18,2,995,50,86,Capsule
19,2,1260,52,91,Capsule
20,2,1255,56,96,Capsule
21,2,1129,60,101,Capsule
22,2,1254,69,106,Capsule
23,2,1080,75,111,Capsule
24,2,999,92,116,Capsule
25,3,1311,109,121,Capsule
26,3,1356,126,126,Capsule
27,3,1054,147,131,Capsule
28,3,1067,190,136,Capsule
29,3,1018,223,141,Capsule
30,3,1114,254,146,Capsule
31,3,1129,275,151,Capsule
32,3,1292,326,156,Capsule
33,3,1437,373,161,Capsule
34,3,1265,428,166,Capsule
35,3,1260,514,171,Capsule
36,4,1260,602,176,Capsule
37,4,1575,676,181,Capsule
38,4,1533,767,186,Capsule
39,4,1394,842,191,Capsule
40,4,1279,918,196,Capsule
41,4,1213,1029,201,Capsule
42,4,1420,1136,206,Capsule
43,4,1439,1232,211,Capsule
44,4,1243,1310,216,Capsule
45,4,803,1433,221,Capsule
46,5,954,1524,226,Capsule
47,5,941,1609,231,Capsule
48,5,823,1689,236,Capsule
49,5,954,1789,241,Capsule
50,5,866,1878,246,Capsule
51,5,1008,1963,250,Capsule
52,5,1128,2058,250,Capsule
53,5,1074,2193,250,Capsule
54,5,998,2301,250,Capsule
55,5,987,2435,250,Capsule
56,6,948,2583,250,Capsule
57,6,286,2714,250,Capsule
58,6,1027,2837,250,Capsule
59,6,1383,2991,250,Capsule
60,6,1203,3103,250,Capsule
61,6,1091,3226,250,Capsule
62,6,927,3363,250,Capsule
63,6,971,3542,250,Capsule
64,6,1099,3683,250,Capsule
65,6,1407,3852,250,Capsule
66,7,1344,3974,250,Capsule
67,7,1127,4084,250,Capsule
68,7,1218,4211,250,Capsule
69,7,1175,4379,250,Capsule
70,7,1294,4550,250,Capsule
71,7,261,4714,250,Capsule
72,7,1371,4846,250,Capsule
73,7,1509,5017,250,Capsule
74,7,1133,5147,250,Capsule
75,7,1231,5268,250,Capsule
76,8,1333,5363,250,Capsule
77,8,1317,5476,250,Capsule
78,8,747,5563,250,Capsule
79,8,287,5665,250,Capsule
80,8,749,5753,250,Capsule
81,8,825,5863,250,Capsule
82,8,966,5980,250,Capsule
83,8,771,6057,250,Capsule
84,8,938,6165,250,Capsule
85,8,1239,6283,250,Capsule
86,9,1342,6413,250,Capsule
87,9,1098,6522,250,Capsule
88,9,975,6636,250,Capsule
89,9,1051,6714,250,Capsule
90,9,1072,6824,250,Capsule
91,9,1348,6953,250,Capsule
92,9,1073,7065,250,Capsule
93,9,622,7190,250,Capsule
94,9,1194,7286,250,Capsule
95,10,1167,7419,250,Capsule
96,10,1104,7526,250,Capsule
97,10,1257,7624,250,Capsule
98,10,1284,7731,250,Capsule
99,10,1258,7852,250,Capsule
100,10,1285,7983,250,Capsule
