Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Mesh
2,0,1766,2,6,Mesh
3,0,1982,2,11,Mesh
4,0,1571,2,16,Mesh
5,1,1384,2,21,Mesh
6,1,1817,4,26,Mesh
7,1,1659,6,31,Mesh
8,1,1934,6,36,Mesh
9,1,1937,8,41,Mesh
10,1,1716,12,46,Mesh
11,1,1274,12,51,Mesh
12,1,1434,16,56,Mesh
13,1,905,24,61,Mesh
14,1,947,26,66,Mesh
15,2,1139,30,71,Mesh
16,2,1203,40,76,Mesh
17,2,1059,44,81,Mesh
18,2,901,46,86,Mesh
19,2,1506,46,91,Mesh
20,2,1288,54,96,Mesh
21,2,1322,62,101,Mesh
22,2,1098,69,106,Mesh
23,2,1095,76,111,Mesh
24,2,1177,94,116,Mesh
25,3,987,111,121,Mesh
26,3,1405,132,126,Mesh
27,3,1363,155,131,Mesh
28,3,1248,191,136,Mesh
29,3,1203,212,141,Mesh
30,3,1231,250,146,Mesh
31,3,1191,286,151,Mesh
32,3,1467,338,156,Mesh
33,3,1436,395,161,Mesh
34,3,1228,451,166,Mesh
35,3,1147,532,171,Mesh
36,4,1347,603,176,Mesh
37,4,1609,683,181,Mesh
38,4,1495,771,186,Mesh
39,4,1471,857,191,Mesh
40,4,1221,956,196,Mesh
41,4,1409,1055,201,Mesh
42,4,1272,1142,206,Mesh
43,4,1243,1216,211,Mesh
44,4,1448,1322,216,Mesh
45,4,1453,1410,221,Mesh
46,5,1342,1528,226,Mesh
47,5,1166,1627,231,Mesh
48,5,865,1707,236,Mesh
49,5,860,1832,241,Mesh
50,5,771,1937,246,Mesh
51,5,783,2023,250,Mesh
52,5,749,2143,250,Mesh
53,5,1382,2269,250,Mesh
54,5,1015,2367,250,Mesh
55,5,1095,2491,250,Mesh
56,6,1007,2615,250,Mesh
57,6,1064,2745,250,Mesh
58,6,1037,2874,250,Mesh
59,6,1334,3017,250,Mesh
60,6,1275,3142,250,Mesh
61,6,1194,3285,250,Mesh
62,6,1174,3434,250,Mesh
63,6,1093,3587,250,Mesh
64,6,1085,3745,250,Mesh
65,6,1094,3884,250,Mesh
66,7,1307,4018,250,Mesh
67,7,1417,4189,250,Mesh
68,7,1169,4345,250,Mesh
69,7,1159,4529,250,Mesh
70,7,1158,4713,250,Mesh
71,7,943,4887,250,Mesh
72,7,1061,5061,250,Mesh
73,7,1378,5213,250,Mesh
74,7,1257,5350,250,Mesh
75,7,1064,5488,250,Mesh
76,8,1116,5599,250,Mesh
77,8,1325,5746,250,Mesh
78,8,1465,5884,250,Mesh
79,8,761,6018,250,Mesh
80,8,894,6127,250,Mesh
81,8,741,6263,250,Mesh
82,8,768,6383,250,Mesh
83,8,1033,6539,250,Mesh
84,8,751,6655,250,Mesh
85,8,836,6777,250,Mesh
86,9,1110,6891,250,Mesh
87,9,1233,7005,250,Mesh
88,9,958,7126,250,Mesh
89,9,1081,7240,250,Mesh
90,9,1013,7365,250,Mesh
91,9,909,7507,250,Mesh
92,9,1306,7667,250,Mesh
93,9,1203,7809,250,Mesh
94,9,1070,7954,250,Mesh
95,10,1171,8090,250,Mesh
96,10,1106,8223,250,Mesh
97,10,1043,8328,250,Mesh
98,10,1361,8471,250,Mesh
99,10,1230,8590,250,Mesh
100,10,1004,8726,250,Mesh
