Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Mesh
2,0,1851,2,6,Mesh
3,0,1692,2,11,Mesh
4,0,1733,2,16,Mesh
5,1,1515,2,21,Mesh
6,1,1432,4,26,Mesh
7,1,2016,6,31,Mesh
8,1,1535,6,36,Mesh
9,1,1417,8,41,Mesh
10,1,1385,12,46,Mesh
11,1,1384,12,51,Mesh
12,1,2021,16,56,Mesh
13,1,1894,24,61,Mesh
14,1,1034,26,66,Mesh
15,2,1037,30,71,Mesh
16,2,1111,40,76,Mesh
17,2,802,44,81,Mesh
18,2,1178,46,86,Mesh
19,2,830,46,91,Mesh
20,2,1194,54,96,Mesh
21,2,1071,62,101,Mesh
22,2,983,69,106,Mesh
23,2,1138,76,111,Mesh
24,2,1156,94,116,Mesh
25,3,1000,111,121,Mesh
26,3,940,132,126,Mesh
27,3,1387,155,131,Mesh
28,3,1250,191,136,Mesh
29,3,1058,211,141,Mesh
30,3,1062,253,146,Mesh
31,3,972,284,151,Mesh
32,3,1036,341,156,Mesh
33,3,1255,391,161,Mesh
34,3,1305,456,166,Mesh
35,3,1491,534,171,Mesh
36,4,1170,603,176,Mesh
37,4,1417,682,181,Mesh
38,4,1204,774,186,Mesh
39,4,1495,868,191,Mesh
40,4,1267,936,196,Mesh
41,4,1319,1032,201,Mesh
42,4,1438,1135,206,Mesh
43,4,1519,1226,211,Mesh
44,4,1191,1335,216,Mesh
45,4,1222,1431,221,Mesh
46,5,1151,1529,226,Mesh
47,5,819,1620,231,Mesh
48,5,944,1713,236,Mesh
49,5,985,1808,241,Mesh
50,5,891,1936,246,Mesh
51,5,720,2056,250,Mesh
52,5,706,2150,250,Mesh
53,5,1202,2291,250,Mesh
54,5,990,2419,250,Mesh
55,5,278,2520,250,Mesh
56,6,1022,2682,250,Mesh
57,6,1038,2840,250,Mesh
58,6,1029,2936,250,Mesh
59,6,1310,3100,250,Mesh
60,6,1232,3226,250,Mesh
61,6,1216,3332,250,Mesh
62,6,1178,3477,250,Mesh
63,6,1052,3625,250,Mesh
64,6,1114,3809,250,Mesh
65,6,1038,3971,250,Mesh
66,7,1238,4126,250,Mesh
67,7,1264,4273,250,Mesh
68,7,1066,4445,250,Mesh
69,7,1190,4605,250,Mesh
70,7,1330,4769,250,Mesh
71,7,1211,4933,250,Mesh
72,7,955,5112,250,Mesh
73,7,1431,5264,250,Mesh
74,7,1160,5411,250,Mesh
75,7,1247,5581,250,Mesh
76,8,1297,5722,250,Mesh
77,8,1295,5838,250,Mesh
78,8,1318,5962,250,Mesh
79,8,883,6078,250,Mesh
80,8,855,6193,250,Mesh
81,8,966,6289,250,Mesh
82,8,852,6388,250,Mesh
83,8,761,6484,250,Mesh
84,8,851,6583,250,Mesh
85,8,1160,6703,250,Mesh
86,9,1265,6798,250,Mesh
87,9,1113,6937,250,Mesh
88,9,1105,7071,250,Mesh
89,9,980,7155,250,Mesh
90,9,941,7277,250,Mesh
91,9,1288,7381,250,Mesh
92,9,1341,7509,250,Mesh
93,9,1195,7657,250,Mesh
94,9,243,7807,250,Mesh
95,10,1148,7919,250,Mesh
96,10,1140,8058,250,Mesh
97,10,1025,8199,250,Mesh
98,10,1172,8316,250,Mesh
99,10,1341,8433,250,Mesh
100,10,1204,8559,250,Mesh
