Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Mesh
2,0,1737,2,6,Mesh
3,0,1696,2,11,Mesh
4,0,1632,2,16,Mesh
5,1,1983,2,21,Mesh
6,1,1932,4,26,Mesh
7,1,1515,6,31,Mesh
8,1,1572,6,36,Mesh
9,1,1937,8,41,Mesh
10,1,1466,12,46,Mesh
11,1,1929,12,51,Mesh
12,1,1837,16,56,Mesh
13,1,890,24,61,Mesh
14,1,1043,26,66,Mesh
15,2,1025,30,71,Mesh
16,2,939,40,76,Mesh
17,2,1142,44,81,Mesh
18,2,1177,46,86,Mesh
19,2,1516,46,91,Mesh
20,2,1326,54,96,Mesh
21,2,1148,62,101,Mesh
22,2,1050,69,106,Mesh
23,2,1091,76,111,Mesh
24,2,1139,94,116,Mesh
25,3,1373,111,121,Mesh
26,3,1488,132,126,Mesh
27,3,1366,153,131,Mesh
28,3,1116,188,136,Mesh
29,3,1117,206,141,Mesh
30,3,1201,243,146,Mesh
31,3,1531,283,151,Mesh
32,3,1490,352,156,Mesh
33,3,1404,393,161,Mesh
34,3,1272,451,166,Mesh
35,3,1357,527,171,Mesh
36,4,1282,598,176,Mesh
37,4,1433,661,181,Mesh
38,4,1498,764,186,Mesh
39,4,1349,880,191,Mesh
40,4,1557,974,196,Mesh
41,4,1375,1066,201,Mesh
42,4,1145,1161,206,Mesh
43,4,1538,1251,211,Mesh
44,4,1055,1351,216,Mesh
45,4,1516,1460,221,Mesh
46,5,1289,1581,226,Mesh
47,5,797,1659,231,Mesh
48,5,862,1744,236,Mesh
49,5,818,1847,241,Mesh
50,5,815,1950,246,Mesh
51,5,1018,2046,250,Mesh
52,5,1131,2144,250,Mesh
53,5,1176,2236,250,Mesh
54,5,964,2334,250,Mesh
55,5,381,2440,250,Mesh
56,6,201,2581,250,Mesh
57,6,1024,2701,250,Mesh
58,6,1239,2802,250,Mesh
59,6,1070,2925,250,Mesh
60,6,285,3082,250,Mesh
61,6,1088,3219,250,Mesh
62,6,947,3360,250,Mesh
63,6,1071,3502,250,Mesh
64,6,939,3684,250,Mesh
65,6,1232,3846,250,Mesh
66,7,1224,4004,250,Mesh
67,7,1245,4153,250,Mesh
68,7,1345,4281,250,Mesh
69,7,1100,4450,250,Mesh
70,7,1171,4607,250,Mesh
71,7,1262,4766,250,Mesh
72,7,1312,4924,250,Mesh
73,7,1253,5091,250,Mesh
74,7,1297,5211,250,Mesh
75,7,1285,5365,250,Mesh
76,8,1505,5511,250,Mesh
77,8,1292,5650,250,Mesh
78,8,1104,5804,250,Mesh
79,8,931,5958,250,Mesh
80,8,819,6090,250,Mesh
81,8,822,6215,250,Mesh
82,8,825,6329,250,Mesh
83,8,1036,6466,250,Mesh
84,8,1005,6593,250,Mesh
85,8,1436,6737,250,Mesh
86,9,1367,6868,250,Mesh
87,9,1057,6990,250,Mesh
88,9,1076,7100,250,Mesh
89,9,1107,7226,250,Mesh
90,9,1032,7347,250,Mesh
91,9,1027,7450,250,Mesh
92,9,1328,7629,250,Mesh
93,9,1242,7757,250,Mesh
94,9,1023,7879,250,Mesh
95,10,1085,8014,250,Mesh
96,10,1101,8159,250,Mesh
97,10,1054,8298,250,Mesh
98,10,941,8415,250,Mesh
99,10,1425,8544,250,Mesh
100,10,1260,8678,250,Mesh
