Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0.10,0.60,0,1,Capsule
2,0.20,77.92,2,6,Capsule
3,0.30,123.18,2,11,Capsule
4,0.40,116.98,2,16,Capsule
5,0.50,124.30,2,21,Capsule
6,0.60,129.68,4,26,Capsule
7,0.70,139.06,6,31,Capsule
8,0.80,144.30,6,36,Capsule
9,0.90,152.77,8,41,Capsule
10,1.00,162.33,12,46,Capsule
11,1.10,167.77,12,51,Capsule
12,1.20,170.56,16,56,Capsule
13,1.30,177.70,24,61,Capsule
14,1.40,184.46,26,66,Capsule
15,1.50,192.59,30,71,Capsule
16,1.60,196.87,42,76,Capsule
17,1.70,200.97,50,81,Capsule
18,1.80,203.22,50,86,Capsule
19,1.90,208.24,52,91,Capsule
20,2.00,213.85,56,96,Capsule
21,2.10,211.96,60,101,Capsule
22,2.20,215.01,69,106,Capsule
23,2.30,217.31,75,111,Capsule
24,2.40,216.27,92,116,Capsule
25,2.50,217.51,111,121,Capsule
26,2.60,219.53,128,126,Capsule
27,2.70,217.96,149,131,Capsule
28,2.80,219.50,190,136,Capsule
29,2.90,220.82,221,141,Capsule
30,3.00,221.98,251,146,Capsule
31,3.10,223.20,275,151,Capsule
32,3.20,219.99,322,156,Capsule
33,3.30,219.41,364,161,Capsule
34,3.40,219.96,422,166,Capsule
35,3.50,214.78,502,171,Capsule
