Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Capsule
2,0,49,2,6,Capsule
3,0,43,2,10,Capsule
4,0,111,2,10,Capsule
5,1,125,2,10,Capsule
6,1,97,2,10,Capsule
7,1,138,2,10,Capsule
8,1,105,2,10,Capsule
9,1,115,2,10,Capsule
10,1,90,2,10,Capsule
11,1,114,2,10,Capsule
12,1,85,2,10,Capsule
13,1,93,2,10,Capsule
14,1,112,2,10,Capsule
15,2,111,2,10,Capsule
16,2,153,2,10,Capsule
17,2,126,2,10,Capsule
18,2,152,2,10,Capsule
19,2,151,2,10,Capsule
20,2,112,3,10,Capsule
21,2,102,5,10,Capsule
22,2,110,8,10,Capsule
23,2,144,10,10,Capsule
24,2,142,18,10,Capsule
25,3,110,30,10,Capsule
26,3,159,41,10,Capsule
27,3,98,47,10,Capsule
28,3,134,53,10,Capsule
29,3,155,56,10,Capsule
30,3,125,61,10,Capsule
31,3,108,62,10,Capsule
32,3,138,66,10,Capsule
33,3,118,73,10,Capsule
34,3,138,75,10,Capsule
35,3,110,76,10,Capsule
36,4,108,77,10,Capsule
37,4,138,80,10,Capsule
38,4,122,81,10,Capsule
39,4,132,81,10,Capsule
40,4,162,84,10,Capsule
41,4,146,86,10,Capsule
42,4,121,86,10,Capsule
43,4,117,92,10,Capsule
44,4,124,93,10,Capsule
45,4,134,93,10,Capsule
46,5,132,95,10,Capsule
47,5,142,96,10,Capsule
48,5,106,96,10,Capsule
49,5,128,98,10,Capsule
50,5,149,98,10,Capsule
51,5,151,101,10,Capsule
52,5,125,105,10,Capsule
53,5,138,107,10,Capsule
54,5,162,111,10,Capsule
55,5,131,116,10,Capsule
56,6,125,116,10,Capsule
57,6,142,120,10,Capsule
58,6,144,120,10,Capsule
59,6,140,121,10,Capsule
60,6,147,123,10,Capsule
61,6,116,123,10,Capsule
62,6,148,126,10,Capsule
63,6,112,126,10,Capsule
64,6,111,127,10,Capsule
65,6,146,133,10,Capsule
66,7,93,136,10,Capsule
67,7,101,139,10,Capsule
68,7,88,141,10,Capsule
69,7,125,143,10,Capsule
70,7,145,143,10,Capsule
71,7,159,143,10,Capsule
72,7,130,145,10,Capsule
73,7,125,145,10,Capsule
74,7,70,147,10,Capsule
75,7,105,148,10,Capsule
76,8,119,151,10,Capsule
77,8,89,153,10,Capsule
78,8,96,153,10,Capsule
79,8,102,153,10,Capsule
80,8,86,154,10,Capsule
81,8,76,154,10,Capsule
82,8,73,159,10,Capsule
83,8,62,164,10,Capsule
84,8,72,165,10,Capsule
85,8,76,168,10,Capsule
86,9,108,169,10,Capsule
87,9,78,169,10,Capsule
88,9,71,173,10,Capsule
89,9,59,173,10,Capsule
90,9,89,173,10,Capsule
