Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0.10,50.00,0,1,Mesh
2,0.20,262.69,2,6,Mesh
3,0.30,224.84,2,11,Mesh
4,0.40,285.94,2,16,Mesh
5,0.50,286.43,2,21,Mesh
6,0.60,118.96,4,26,Mesh
7,0.70,259.32,6,31,Mesh
8,0.80,163.28,6,36,Mesh
9,0.90,253.22,8,41,Mesh
10,1.00,239.92,12,46,Mesh
11,1.10,224.66,12,51,Mesh
12,1.20,243.85,16,56,Mesh
13,1.30,237.37,24,61,Mesh
14,1.40,238.80,26,66,Mesh
15,1.50,263.27,30,71,Mesh
16,1.60,284.04,40,76,Mesh
17,1.70,271.45,44,81,Mesh
18,1.80,152.33,46,86,Mesh
19,1.90,256.91,46,91,Mesh
20,2.00,282.52,54,96,Mesh
21,2.10,281.86,62,101,Mesh
22,2.20,292.78,69,106,Mesh
23,2.30,274.95,76,111,Mesh
24,2.40,206.25,94,116,Mesh
25,2.50,281.53,111,121,Mesh
26,2.60,290.66,132,126,Mesh
27,2.70,206.69,153,131,Mesh
28,2.80,324.55,187,136,Mesh
29,2.90,277.55,203,141,Mesh
30,3.00,259.38,235,146,Mesh
31,3.10,274.47,267,151,Mesh
32,3.20,302.71,329,156,Mesh
33,3.30,266.26,378,161,Mesh
34,3.40,278.00,438,166,Mesh
35,3.50,272.33,517,171,Mesh
36,3.60,261.03,582,176,Mesh
37,3.70,272.67,670,181,Mesh
38,3.80,269.98,766,186,Mesh
39,3.90,277.92,865,191,Mesh
40,4.00,240.62,946,196,Mesh
41,4.10,220.37,1043,201,Mesh
42,4.20,186.23,1134,206,Mesh
43,4.30,196.07,1216,211,Mesh
44,4.40,216.30,1330,216,Mesh
45,4.50,272.37,1441,221,Mesh
46,4.60,230.92,1520,226,Mesh
47,4.70,262.81,1606,231,Mesh
48,4.80,253.83,1706,236,Mesh
49,4.90,284.12,1794,241,Mesh
50,5.00,185.36,1911,246,Mesh
51,5.10,164.20,2025,250,Mesh
52,5.20,260.17,2124,250,Mesh
53,5.30,145.53,2241,250,Mesh
54,5.40,227.65,2376,250,Mesh
55,5.50,246.66,2471,250,Mesh
56,5.60,235.60,2610,250,Mesh
57,5.70,254.77,2778,250,Mesh
58,5.80,237.69,2920,250,Mesh
59,5.90,215.46,3061,250,Mesh
60,6.00,225.58,3191,250,Mesh
61,6.10,228.96,3371,250,Mesh
62,6.20,230.96,3538,250,Mesh
63,6.30,187.16,3692,250,Mesh
64,6.40,211.91,3854,250,Mesh
65,6.50,190.63,4015,250,Mesh
66,6.60,232.69,4198,250,Mesh
67,6.70,228.05,4353,250,Mesh
68,6.80,254.99,4533,250,Mesh
69,6.90,238.00,4685,250,Mesh
70,7.00,262.31,4833,250,Mesh
71,7.10,195.25,4979,250,Mesh
72,7.20,235.47,5140,250,Mesh
73,7.30,270.50,5330,250,Mesh
74,7.40,241.62,5494,250,Mesh
75,7.50,249.02,5654,250,Mesh
76,7.60,251.62,5800,250,Mesh
77,7.70,119.29,5923,250,Mesh
78,7.80,246.68,6064,250,Mesh
79,7.90,187.78,6168,250,Mesh
80,8.00,196.53,6270,250,Mesh
81,8.10,212.03,6389,250,Mesh
82,8.20,164.20,6492,250,Mesh
83,8.30,180.51,6633,250,Mesh
84,8.40,215.78,6785,250,Mesh
85,8.50,217.53,6908,250,Mesh
86,8.60,232.47,7017,250,Mesh
87,8.70,221.63,7094,250,Mesh
88,8.80,205.41,7234,250,Mesh
89,8.90,227.62,7393,250,Mesh
90,9.00,248.58,7509,250,Mesh
91,9.10,222.55,7625,250,Mesh
92,9.20,202.82,7779,250,Mesh
93,9.30,196.34,7907,250,Mesh
94,9.40,256.44,8046,250,Mesh
95,9.50,144.90,8185,250,Mesh
96,9.60,150.14,8320,250,Mesh
97,9.70,167.00,8457,250,Mesh
98,9.80,197.08,8613,250,Mesh
99,9.90,233.54,8727,250,Mesh
100,10.00,243.90,8865,250,Mesh
