Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0.10,50.00,0,1,Mesh
2,0.20,131.82,2,6,Mesh
3,0.30,216.98,2,11,Mesh
4,0.40,188.46,2,16,Mesh
5,0.50,201.08,2,21,Mesh
6,0.60,260.78,4,26,Mesh
7,0.70,227.90,6,31,Mesh
8,0.80,225.72,6,36,Mesh
9,0.90,226.10,8,41,Mesh
10,1.00,227.49,12,46,Mesh
11,1.10,201.53,12,51,Mesh
12,1.20,238.70,16,56,Mesh
13,1.30,170.51,24,61,Mesh
14,1.40,280.86,26,66,Mesh
15,1.50,288.72,30,71,Mesh
16,1.60,215.34,40,76,Mesh
17,1.70,297.01,44,81,Mesh
18,1.80,229.36,46,86,Mesh
19,1.90,207.63,46,91,Mesh
20,2.00,262.99,54,96,Mesh
21,2.10,239.89,62,101,Mesh
22,2.20,189.83,69,106,Mesh
23,2.30,231.19,76,111,Mesh
24,2.40,242.44,94,116,Mesh
25,2.50,239.79,111,121,Mesh
26,2.60,209.75,132,126,Mesh
27,2.70,199.57,153,131,Mesh
28,2.80,229.91,188,136,Mesh
29,2.90,242.44,209,141,Mesh
30,3.00,217.64,250,146,Mesh
31,3.10,117.29,279,151,Mesh
32,3.20,247.30,342,156,Mesh
33,3.30,206.57,387,161,Mesh
34,3.40,223.33,442,166,Mesh
35,3.50,218.35,513,171,Mesh
36,3.60,160.84,588,176,Mesh
37,3.70,209.22,661,181,Mesh
38,3.80,259.50,765,186,Mesh
39,3.90,172.48,882,191,Mesh
40,4.00,225.36,962,196,Mesh
41,4.10,278.37,1069,201,Mesh
42,4.20,226.59,1168,206,Mesh
43,4.30,146.82,1257,211,Mesh
44,4.40,226.12,1354,216,Mesh
45,4.50,237.64,1465,221,Mesh
46,4.60,228.57,1589,226,Mesh
47,4.70,225.35,1707,231,Mesh
48,4.80,214.52,1783,236,Mesh
49,4.90,206.25,1858,241,Mesh
50,5.00,254.54,1976,246,Mesh
51,5.10,264.54,2070,251,Mesh
52,5.20,245.83,2157,256,Mesh
53,5.30,164.44,2282,261,Mesh
54,5.40,158.23,2394,266,Mesh
55,5.50,158.08,2508,271,Mesh
56,5.60,176.78,2643,276,Mesh
57,5.70,248.64,2786,281,Mesh
58,5.80,185.84,2922,286,Mesh
59,5.90,279.32,3058,291,Mesh
60,6.00,104.01,3196,296,Mesh
61,6.10,217.95,3342,301,Mesh
62,6.20,96.05,3504,306,Mesh
63,6.30,117.65,3667,311,Mesh
64,6.40,160.85,3830,316,Mesh
65,6.50,169.70,3989,321,Mesh
66,6.60,191.16,4142,326,Mesh
67,6.70,180.85,4301,331,Mesh
68,6.80,201.11,4457,336,Mesh
69,6.90,179.03,4677,341,Mesh
