Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0.10,0.00,0,1,Capsule
2,0.20,159.77,2,6,Capsule
3,0.30,146.55,2,11,Capsule
4,0.40,172.35,2,16,Capsule
5,0.50,140.06,2,21,Capsule
6,0.60,161.67,4,26,Capsule
7,0.70,140.13,6,31,Capsule
8,0.80,139.19,6,36,Capsule
9,0.90,191.98,8,41,Capsule
10,1.00,195.22,12,46,Capsule
11,1.10,193.13,12,51,Capsule
12,1.20,171.82,16,56,Capsule
13,1.30,145.20,24,61,Capsule
14,1.40,248.16,26,66,Capsule
15,1.50,211.13,30,71,Capsule
16,1.60,239.24,42,76,Capsule
17,1.70,244.69,50,81,Capsule
18,1.80,229.15,50,86,Capsule
19,1.90,245.32,52,91,Capsule
20,2.00,258.81,56,96,Capsule
21,2.10,157.53,60,101,Capsule
22,2.20,241.63,69,106,Capsule
23,2.30,207.49,75,111,Capsule
24,2.40,214.43,92,116,Capsule
25,2.50,242.95,111,121,Capsule
26,2.60,244.91,128,126,Capsule
27,2.70,246.06,149,131,Capsule
28,2.80,235.16,190,136,Capsule
29,2.90,243.51,222,141,Capsule
30,3.00,214.26,250,146,Capsule
31,3.10,231.98,282,151,Capsule
32,3.20,220.17,330,156,Capsule
33,3.30,231.23,371,161,Capsule
34,3.40,182.19,417,166,Capsule
35,3.50,215.08,494,171,Capsule
36,3.60,239.30,583,176,Capsule
37,3.70,234.91,664,181,Capsule
38,3.80,125.50,744,186,Capsule
39,3.90,159.30,830,191,Capsule
40,4.00,167.15,913,196,Capsule
41,4.10,144.37,1028,201,Capsule
42,4.20,190.00,1131,206,Capsule
43,4.30,204.04,1203,211,Capsule
44,4.40,176.95,1296,216,Capsule
45,4.50,219.54,1395,221,Capsule
46,4.60,218.09,1512,226,Capsule
47,4.70,186.41,1589,231,Capsule
48,4.80,198.64,1668,236,Capsule
49,4.90,217.03,1742,241,Capsule
50,5.00,186.85,1846,246,Capsule
51,5.10,151.48,1937,251,Capsule
52,5.20,159.55,2045,256,Capsule
53,5.30,101.19,2183,261,Capsule
54,5.40,190.59,2287,266,Capsule
55,5.50,100.54,2405,271,Capsule
