Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0.10,59.00,0,1,Capsule
2,0.20,69.31,2,6,Capsule
3,0.30,81.23,2,11,Capsule
4,0.40,90.39,2,16,Capsule
5,0.50,100.43,2,21,Capsule
6,0.60,104.87,4,26,Capsule
7,0.70,113.48,6,31,Capsule
8,0.80,122.08,6,36,Capsule
9,0.90,128.14,8,41,Capsule
10,1.00,134.63,12,46,Capsule
11,1.10,140.47,12,51,Capsule
12,1.20,143.89,16,56,Capsule
13,1.30,148.65,24,61,Capsule
14,1.40,150.13,26,66,Capsule
15,1.50,156.94,30,71,Capsule
16,1.60,167.48,42,76,Capsule
17,1.70,176.62,50,81,Capsule
18,1.80,178.98,50,86,Capsule
19,1.90,185.85,52,91,Capsule
20,2.00,191.29,55,96,Capsule
21,2.10,193.86,60,101,Capsule
22,2.20,199.45,69,106,Capsule
23,2.30,204.06,75,111,Capsule
24,2.40,204.09,92,116,Capsule
25,2.50,207.40,111,121,Capsule
26,2.60,210.65,128,126,Capsule
27,2.70,211.07,149,131,Capsule
28,2.80,211.86,190,136,Capsule
29,2.90,213.28,221,141,Capsule
30,3.00,214.79,251,146,Capsule
31,3.10,218.08,278,151,Capsule
32,3.20,219.44,326,156,Capsule
33,3.30,216.24,377,161,Capsule
34,3.40,217.60,433,166,Capsule
35,3.50,217.37,494,171,Capsule
36,3.60,218.79,581,176,Capsule
37,3.70,219.66,662,181,Capsule
38,3.80,220.50,767,186,Capsule
39,3.90,219.35,852,191,Capsule
40,4.00,220.53,931,196,Capsule
41,4.10,219.86,1044,201,Capsule
42,4.20,220.00,1142,206,Capsule
43,4.30,212.61,1228,211,Capsule
44,4.40,205.11,1306,216,Capsule
45,4.50,201.37,1409,221,Capsule
46,4.60,201.23,1525,226,Capsule
47,4.70,201.01,1626,231,Capsule
48,4.80,203.04,1702,236,Capsule
49,4.90,202.99,1786,241,Capsule
50,5.00,202.42,1905,246,Capsule
51,5.10,203.03,1969,251,Capsule
52,5.20,202.60,2084,256,Capsule
53,5.30,202.81,2216,261,Capsule
54,5.40,203.28,2326,266,Capsule
55,5.50,203.31,2408,271,Capsule
56,5.60,202.15,2510,276,Capsule
57,5.70,203.62,2639,281,Capsule
58,5.80,203.83,2756,286,Capsule
59,5.90,201.37,2887,291,Capsule
60,6.00,200.16,2996,296,Capsule
61,6.10,199.53,3131,301,Capsule
62,6.20,200.65,3263,306,Capsule
63,6.30,200.50,3422,311,Capsule
64,6.40,198.26,3584,316,Capsule
65,6.50,199.04,3736,321,Capsule
66,6.60,199.33,3917,326,Capsule
67,6.70,199.44,4069,331,Capsule
68,6.80,199.56,4209,336,Capsule
69,6.90,200.02,4389,341,Capsule
70,7.00,197.96,4566,346,Capsule
71,7.10,198.04,4715,351,Capsule
72,7.20,197.11,4866,356,Capsule
73,7.30,196.15,5029,361,Capsule
74,7.40,194.70,5196,366,Capsule
75,7.50,194.06,5390,371,Capsule
76,7.60,193.25,5604,376,Capsule
77,7.70,193.99,5784,381,Capsule
78,7.80,193.98,5947,386,Capsule
79,7.90,191.15,6133,391,Capsule
80,8.00,190.66,6349,396,Capsule
81,8.10,190.25,6531,401,Capsule
82,8.20,187.89,6721,406,Capsule
83,8.30,187.89,6907,411,Capsule
84,8.40,187.87,7157,416,Capsule
85,8.50,185.39,7404,421,Capsule
86,8.60,184.97,7625,426,Capsule
87,8.70,183.34,7875,431,Capsule
88,8.80,182.44,8052,436,Capsule
89,8.90,183.07,8256,441,Capsule
90,9.00,181.45,8477,446,Capsule
91,9.10,181.92,8747,451,Capsule
92,9.20,181.80,9009,456,Capsule
93,9.30,181.57,9274,461,Capsule
94,9.40,181.16,9537,466,Capsule
95,9.50,181.84,9767,471,Capsule
96,9.60,176.36,10027,476,Capsule
97,9.70,172.07,10247,481,Capsule
98,9.80,168.34,10505,486,Capsule
99,9.90,164.33,10754,491,Capsule
100,10.00,162.22,11013,496,Capsule
101,10.10,163.25,11256,501,Capsule
102,10.20,162.80,11477,506,Capsule
103,10.30,163.99,11781,511,Capsule
104,10.40,164.71,12071,516,Capsule
105,10.50,164.72,12364,521,Capsule
106,10.60,165.93,12655,526,Capsule
107,10.70,166.09,12908,531,Capsule
108,10.80,164.00,13195,536,Capsule
109,10.90,164.76,13453,541,Capsule
110,11.00,165.43,13740,546,Capsule
111,11.10,162.94,14027,551,Capsule
112,11.20,163.85,14306,556,Capsule
113,11.30,163.44,14552,561,Capsule
114,11.40,162.03,14851,566,Capsule
115,11.50,163.65,15146,571,Capsule
116,11.60,160.43,15415,576,Capsule
117,11.70,160.18,15692,581,Capsule
118,11.80,161.55,16001,586,Capsule
119,11.90,161.85,16297,591,Capsule
120,12.00,163.25,16583,596,Capsule
121,12.10,162.51,16892,601,Capsule
122,12.20,162.43,17191,606,Capsule
123,12.30,163.44,17477,611,Capsule
124,12.40,162.82,17738,616,Capsule
125,12.50,162.71,18065,621,Capsule
126,12.60,162.21,18392,626,Capsule
127,12.70,162.57,18669,631,Capsule
128,12.80,161.88,18999,636,Capsule
129,12.90,162.46,19343,641,Capsule
130,13.00,163.05,19660,646,Capsule
131,13.10,161.96,19995,651,Capsule
132,13.20,162.42,20309,656,Capsule
133,13.30,161.79,20655,661,Capsule
134,13.40,160.22,21048,666,Capsule
135,13.50,159.50,21399,671,Capsule
136,13.60,159.86,21761,676,Capsule
137,13.70,158.97,22140,681,Capsule
138,13.80,156.80,22495,686,Capsule
139,13.90,156.69,22888,691,Capsule
140,14.00,155.74,23302,696,Capsule
141,14.10,156.56,23683,701,Capsule
142,14.20,156.18,24000,706,Capsule
143,14.30,156.58,24367,711,Capsule
144,14.40,157.46,24712,716,Capsule
145,14.50,157.13,25049,721,Capsule
146,14.60,157.06,25429,726,Capsule
147,14.70,157.51,25818,731,Capsule
148,14.80,157.20,26170,736,Capsule
149,14.90,156.99,26541,741,Capsule
150,15.00,152.65,26883,746,Capsule
151,15.10,148.10,27242,751,Capsule
152,15.20,143.90,27670,756,Capsule
153,15.30,142.99,28051,761,Capsule
154,15.40,142.28,28468,766,Capsule
155,15.50,142.81,28847,771,Capsule
156,15.60,143.67,29209,776,Capsule
157,15.70,142.69,29679,781,Capsule
158,15.80,143.64,30144,786,Capsule
159,15.90,144.14,30582,791,Capsule
160,16.00,143.57,30985,796,Capsule
161,16.10,143.34,31376,801,Capsule
162,16.20,142.91,31840,806,Capsule
163,16.30,140.99,32251,811,Capsule
164,16.40,141.89,32721,816,Capsule
165,16.50,142.16,33161,821,Capsule
166,16.60,142.22,33561,826,Capsule
167,16.70,142.84,33941,831,Capsule
168,16.80,142.97,34351,836,Capsule
169,16.90,143.13,34814,841,Capsule
170,17.00,143.37,35284,846,Capsule
171,17.10,142.64,35741,851,Capsule
172,17.20,141.85,36142,856,Capsule
173,17.30,141.38,36555,861,Capsule
174,17.40,140.69,36993,866,Capsule
175,17.50,140.90,37430,871,Capsule
176,17.60,138.95,37871,876,Capsule
177,17.70,137.50,38285,881,Capsule
178,17.80,137.82,38714,886,Capsule
179,17.90,138.04,39200,891,Capsule
180,18.00,137.41,39725,896,Capsule
181,18.10,136.79,40231,901,Capsule
182,18.20,136.03,40769,906,Capsule
183,18.30,135.30,41263,911,Capsule
184,18.40,135.46,41785,916,Capsule
185,18.50,134.84,42318,921,Capsule
186,18.60,135.64,42800,926,Capsule
187,18.70,135.78,43322,931,Capsule
188,18.80,135.23,43781,936,Capsule
189,18.90,135.58,44188,941,Capsule
190,19.00,134.85,44658,946,Capsule
191,19.10,134.12,45067,951,Capsule
192,19.20,134.47,45558,956,Capsule
193,19.30,134.42,46041,961,Capsule
194,19.40,133.49,46537,966,Capsule
195,19.50,133.93,46995,971,Capsule
196,19.60,133.07,47471,976,Capsule
197,19.70,132.58,47948,981,Capsule
198,19.80,132.60,48496,986,Capsule
199,19.90,129.98,49047,991,Capsule
200,20.00,130.00,49571,996,Capsule
201,20.10,130.42,50102,1001,Capsule
202,20.20,129.34,50658,1006,Capsule
203,20.30,126.32,51241,1011,Capsule
204,20.40,122.78,51811,1016,Capsule
205,20.50,119.14,52356,1021,Capsule
206,20.60,117.76,52902,1026,Capsule
207,20.70,118.43,53442,1031,Capsule
208,20.80,118.32,53995,1036,Capsule
209,20.90,119.15,54655,1041,Capsule
210,21.00,118.28,55196,1046,Capsule
211,21.10,118.17,55725,1051,Capsule
212,21.20,118.27,56266,1056,Capsule
213,21.30,118.14,56829,1061,Capsule
214,21.40,118.01,57377,1066,Capsule
215,21.50,118.49,57913,1071,Capsule
216,21.60,118.23,58406,1076,Capsule
217,21.70,118.67,58885,1081,Capsule
218,21.80,118.92,59405,1086,Capsule
219,21.90,118.35,60016,1091,Capsule
220,22.00,117.03,60559,1096,Capsule
221,22.10,117.66,61120,1101,Capsule
222,22.20,116.13,61607,1106,Capsule
223,22.30,116.84,62140,1111,Capsule
224,22.40,116.96,62726,1116,Capsule
225,22.50,116.12,63328,1121,Capsule
226,22.60,116.62,63965,1126,Capsule
227,22.70,116.35,64554,1131,Capsule
228,22.80,117.17,65150,1136,Capsule
