Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0.10,50.00,0,1,Mesh
2,0.20,109.36,2,6,Mesh
3,0.30,164.90,2,11,Mesh
4,0.40,220.84,2,16,Mesh
5,0.50,221.32,2,21,Mesh
6,0.60,209.71,4,26,Mesh
7,0.70,210.31,6,31,Mesh
8,0.80,201.62,6,36,Mesh
9,0.90,209.29,8,41,Mesh
10,1.00,243.69,12,46,Mesh
11,1.10,190.32,12,51,Mesh
12,1.20,195.55,16,56,Mesh
13,1.30,212.97,24,61,Mesh
14,1.40,164.35,26,66,Mesh
15,1.50,205.96,30,71,Mesh
16,1.60,242.81,40,76,Mesh
17,1.70,218.46,44,81,Mesh
18,1.80,204.92,46,86,Mesh
19,1.90,264.42,46,91,Mesh
20,2.00,236.99,54,96,Mesh
21,2.10,231.91,62,101,Mesh
22,2.20,272.46,69,106,Mesh
23,2.30,173.95,76,111,Mesh
24,2.40,125.00,94,116,Mesh
25,2.50,177.97,111,121,Mesh
26,2.60,236.78,132,126,Mesh
27,2.70,188.15,155,131,Mesh
28,2.80,248.73,191,136,Mesh
29,2.90,259.11,211,141,Mesh
30,3.00,223.66,247,146,Mesh
31,3.10,231.45,279,151,Mesh
32,3.20,205.71,339,156,Mesh
33,3.30,248.01,381,161,Mesh
34,3.40,251.81,439,166,Mesh
35,3.50,223.42,507,171,Mesh
36,3.60,225.93,579,176,Mesh
37,3.70,225.24,671,181,Mesh
38,3.80,246.80,765,186,Mesh
39,3.90,241.52,841,191,Mesh
40,4.00,239.99,945,196,Mesh
41,4.10,228.66,1026,201,Mesh
42,4.20,196.53,1102,206,Mesh
43,4.30,219.70,1191,211,Mesh
44,4.40,224.91,1286,216,Mesh
45,4.50,232.55,1371,221,Mesh
46,4.60,244.19,1470,226,Mesh
47,4.70,226.00,1567,231,Mesh
48,4.80,221.42,1665,236,Mesh
49,4.90,245.53,1751,241,Mesh
50,5.00,225.88,1863,246,Mesh
51,5.10,227.75,1960,251,Mesh
52,5.20,240.84,2042,256,Mesh
53,5.30,153.88,2141,261,Mesh
54,5.40,235.97,2270,266,Mesh
55,5.50,236.33,2404,271,Mesh
56,5.60,164.33,2570,276,Mesh
57,5.70,213.52,2725,281,Mesh
58,5.80,230.58,2860,286,Mesh
59,5.90,178.63,3000,291,Mesh
60,6.00,231.34,3117,296,Mesh
61,6.10,252.02,3264,301,Mesh
62,6.20,221.51,3416,306,Mesh
63,6.30,204.60,3564,311,Mesh
64,6.40,216.90,3746,316,Mesh
65,6.50,188.92,3946,321,Mesh
66,6.60,218.90,4083,326,Mesh
67,6.70,211.35,4232,331,Mesh
68,6.80,209.24,4392,336,Mesh
69,6.90,218.12,4567,341,Mesh
70,7.00,216.60,4760,346,Mesh
71,7.10,213.10,4968,351,Mesh
72,7.20,214.45,5215,356,Mesh
73,7.30,208.10,5391,361,Mesh
74,7.40,190.47,5563,366,Mesh
75,7.50,210.32,5784,371,Mesh
76,7.60,126.90,6007,376,Mesh
77,7.70,156.21,6224,381,Mesh
78,7.80,137.61,6439,386,Mesh
79,7.90,159.56,6618,391,Mesh
80,8.00,132.07,6863,396,Mesh
81,8.10,187.13,7093,401,Mesh
82,8.20,140.31,7306,406,Mesh
83,8.30,180.72,7521,411,Mesh
84,8.40,175.46,7781,416,Mesh
85,8.50,206.22,8046,421,Mesh
86,8.60,201.31,8271,426,Mesh
87,8.70,212.34,8544,431,Mesh
88,8.80,232.39,8809,436,Mesh
89,8.90,214.28,9054,441,Mesh
90,9.00,190.15,9276,446,Mesh
91,9.10,132.34,9511,451,Mesh
92,9.20,208.00,9785,456,Mesh
93,9.30,187.67,10042,461,Mesh
94,9.40,209.80,10326,466,Mesh
95,9.50,204.29,10584,471,Mesh
96,9.60,213.87,10858,476,Mesh
97,9.70,193.46,11145,481,Mesh
98,9.80,192.24,11405,486,Mesh
99,9.90,178.79,11670,491,Mesh
100,10.00,163.19,11921,496,Mesh
101,10.10,201.50,12238,501,Mesh
102,10.20,204.61,12520,506,Mesh
103,10.30,209.54,12833,511,Mesh
104,10.40,189.63,13113,516,Mesh
105,10.50,169.21,13392,521,Mesh
106,10.60,216.55,13716,526,Mesh
107,10.70,198.33,14081,531,Mesh
108,10.80,147.61,14400,536,Mesh
109,10.90,201.39,14727,541,Mesh
110,11.00,160.20,15022,546,Mesh
111,11.10,172.26,15328,551,Mesh
112,11.20,161.80,15692,556,Mesh
113,11.30,185.10,16016,561,Mesh
114,11.40,191.12,16322,566,Mesh
115,11.50,201.09,16627,571,Mesh
116,11.60,188.16,16920,576,Mesh
117,11.70,206.98,17251,581,Mesh
118,11.80,191.93,17550,586,Mesh
119,11.90,205.00,17885,591,Mesh
120,12.00,220.95,18237,596,Mesh
121,12.10,194.99,18559,601,Mesh
122,12.20,186.37,18934,606,Mesh
123,12.30,220.06,19351,611,Mesh
124,12.40,186.20,19685,616,Mesh
125,12.50,180.87,20000,621,Mesh
126,12.60,198.20,20360,626,Mesh
127,12.70,201.01,20670,631,Mesh
128,12.80,139.83,21076,636,Mesh
129,12.90,140.55,21500,641,Mesh
130,13.00,136.23,21898,646,Mesh
131,13.10,138.61,22304,651,Mesh
132,13.20,142.74,22661,656,Mesh
133,13.30,169.66,23043,661,Mesh
134,13.40,180.73,23438,666,Mesh
135,13.50,151.72,23809,671,Mesh
136,13.60,172.72,24172,676,Mesh
137,13.70,146.54,24542,681,Mesh
138,13.80,167.70,24923,686,Mesh
139,13.90,155.39,25333,691,Mesh
140,14.00,175.37,25783,696,Mesh
141,14.10,170.05,26182,701,Mesh
142,14.20,139.30,26499,706,Mesh
143,14.30,156.88,26843,711,Mesh
144,14.40,65.58,27150,716,Mesh
145,14.50,141.28,27519,721,Mesh
146,14.60,153.17,27902,726,Mesh
147,14.70,165.97,28253,731,Mesh
148,14.80,79.51,28593,736,Mesh
149,14.90,160.39,29004,741,Mesh
150,15.00,196.54,29412,746,Mesh
151,15.10,148.71,29812,751,Mesh
152,15.20,175.72,30216,756,Mesh
153,15.30,171.51,30596,761,Mesh
154,15.40,150.22,31058,766,Mesh
155,15.50,161.33,31486,771,Mesh
156,15.60,178.21,31895,776,Mesh
157,15.70,184.59,32335,781,Mesh
158,15.80,204.22,32734,786,Mesh
159,15.90,185.58,33189,791,Mesh
160,16.00,155.06,33657,796,Mesh
161,16.10,159.46,34035,801,Mesh
162,16.20,164.88,34505,806,Mesh
163,16.30,171.61,34956,811,Mesh
164,16.40,153.47,35393,816,Mesh
165,16.50,168.21,35824,821,Mesh
166,16.60,134.55,36240,826,Mesh
167,16.70,183.61,36619,831,Mesh
168,16.80,118.90,37067,836,Mesh
169,16.90,183.70,37461,841,Mesh
170,17.00,191.34,37943,846,Mesh
171,17.10,187.14,38443,851,Mesh
172,17.20,202.68,38938,856,Mesh
173,17.30,192.61,39377,861,Mesh
174,17.40,179.98,39865,866,Mesh
175,17.50,176.31,40254,871,Mesh
176,17.60,171.87,40811,876,Mesh
177,17.70,179.81,41297,881,Mesh
178,17.80,154.41,41813,886,Mesh
179,17.90,173.87,42227,891,Mesh
180,18.00,165.62,42785,896,Mesh
181,18.10,171.19,43300,901,Mesh
182,18.20,170.05,43824,906,Mesh
183,18.30,64.42,44320,911,Mesh
184,18.40,135.52,44798,916,Mesh
185,18.50,60.74,45321,921,Mesh
186,18.60,167.78,45799,926,Mesh
187,18.70,170.42,46292,931,Mesh
188,18.80,128.99,46793,936,Mesh
189,18.90,181.19,47263,941,Mesh
190,19.00,180.18,47769,946,Mesh
191,19.10,187.79,48340,951,Mesh
192,19.20,189.33,48882,956,Mesh
193,19.30,160.89,49412,961,Mesh
194,19.40,159.30,49996,966,Mesh
195,19.50,153.68,50563,971,Mesh
196,19.60,135.22,51071,976,Mesh
197,19.70,158.04,51543,981,Mesh
198,19.80,189.42,52012,986,Mesh
199,19.90,167.00,52593,991,Mesh
200,20.00,175.56,53185,996,Mesh
