Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0.10,50.00,0,1,Capsule
2,0.20,166.82,2,6,Capsule
3,0.30,167.89,2,11,Capsule
4,0.40,178.64,2,16,Capsule
5,0.50,166.72,2,21,Capsule
6,0.60,176.49,4,26,Capsule
7,0.70,199.05,6,31,Capsule
8,0.80,190.66,6,36,Capsule
9,0.90,170.81,8,41,Capsule
10,1.00,206.11,12,46,Capsule
11,1.10,175.51,12,51,Capsule
12,1.20,187.92,16,56,Capsule
13,1.30,183.05,24,61,Capsule
14,1.40,213.26,26,66,Capsule
15,1.50,219.15,30,71,Capsule
16,1.60,262.89,42,76,Capsule
17,1.70,253.39,50,81,Capsule
18,1.80,222.98,50,86,Capsule
19,1.90,256.06,52,91,Capsule
20,2.00,257.44,56,96,Capsule
21,2.10,216.44,60,101,Capsule
22,2.20,237.18,69,106,Capsule
23,2.30,222.53,75,111,Capsule
24,2.40,213.61,92,116,Capsule
25,2.50,244.82,109,121,Capsule
26,2.60,244.62,126,126,Capsule
27,2.70,227.38,147,131,Capsule
28,2.80,214.41,188,136,Capsule
29,2.90,238.47,218,141,Capsule
30,3.00,228.58,250,146,Capsule
31,3.10,238.25,270,151,Capsule
32,3.20,201.18,318,156,Capsule
33,3.30,238.58,362,161,Capsule
34,3.40,236.69,424,166,Capsule
35,3.50,206.39,506,171,Capsule
36,3.60,234.39,582,176,Capsule
37,3.70,237.32,640,181,Capsule
38,3.80,216.56,716,186,Capsule
39,3.90,208.24,800,191,Capsule
40,4.00,217.37,863,196,Capsule
41,4.10,203.86,953,201,Capsule
42,4.20,223.78,1053,206,Capsule
43,4.30,225.11,1142,211,Capsule
44,4.40,210.77,1225,216,Capsule
45,4.50,201.17,1335,221,Capsule
46,4.60,222.39,1464,226,Capsule
47,4.70,197.21,1543,231,Capsule
48,4.80,150.10,1639,236,Capsule
49,4.90,161.11,1726,241,Capsule
50,5.00,154.86,1796,246,Capsule
51,5.10,186.24,1875,251,Capsule
52,5.20,198.75,1965,256,Capsule
53,5.30,194.26,2097,261,Capsule
54,5.40,214.23,2209,266,Capsule
