Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Capsule
2,0,124,2,6,Capsule
3,0,173,2,11,Capsule
4,0,156,2,16,Capsule
5,1,215,2,21,Capsule
6,1,199,4,26,Capsule
7,1,148,6,31,Capsule
8,1,216,6,36,Capsule
9,1,199,8,41,Capsule
10,1,227,12,46,Capsule
11,1,185,12,51,Capsule
12,1,186,16,56,Capsule
13,1,202,24,61,Capsule
14,1,125,26,66,Capsule
15,2,149,30,71,Capsule
16,2,167,42,76,Capsule
17,2,151,50,81,Capsule
18,2,173,50,86,Capsule
19,2,115,52,91,Capsule
20,2,54,55,96,Capsule
21,2,140,60,101,Capsule
22,2,86,69,106,Capsule
23,2,56,75,111,Capsule
24,2,61,92,116,Capsule
25,3,62,109,121,Capsule
26,3,47,126,126,Capsule
27,3,64,147,131,Capsule
28,3,40,191,136,Capsule
29,3,62,218,141,Capsule
30,3,58,243,146,Capsule
31,3,48,268,151,Capsule
32,3,56,330,156,Capsule
33,3,60,371,161,Capsule
34,3,67,434,166,Capsule
35,3,46,505,171,Capsule
36,4,75,605,176,Capsule
37,4,62,675,181,Capsule
38,4,89,778,186,Capsule
39,4,59,867,191,Capsule
40,4,86,949,196,Capsule
41,4,124,1083,201,Capsule
42,4,117,1189,206,Capsule
43,4,151,1242,211,Capsule
44,4,74,1328,216,Capsule
45,4,50,1436,221,Capsule
46,5,61,1553,226,Capsule
47,5,65,1629,232,Capsule
48,5,14,1719,236,Capsule
49,5,35,1781,241,Capsule
50,5,92,1879,246,Capsule
51,5,40,1980,251,Capsule
52,5,98,2099,256,Capsule
