Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Mesh
2,0,1569,2,6,Mesh
3,0,1539,2,11,Mesh
4,0,1442,2,16,Mesh
5,1,1614,2,21,Mesh
6,1,1608,4,26,Mesh
7,1,1098,6,31,Mesh
8,1,1447,6,36,Mesh
9,1,1402,8,41,Mesh
10,1,1837,12,46,Mesh
11,1,1770,12,51,Mesh
12,1,1790,16,56,Mesh
13,1,1563,24,61,Mesh
14,1,1273,26,66,Mesh
15,2,1510,30,71,Mesh
16,2,1321,40,76,Mesh
17,2,1836,44,81,Mesh
18,2,1378,46,86,Mesh
19,2,1355,46,91,Mesh
20,2,1384,54,96,Mesh
21,2,1209,62,101,Mesh
22,2,1409,69,106,Mesh
23,2,996,76,111,Mesh
24,2,862,94,116,Mesh
25,3,1075,111,121,Mesh
26,3,909,134,126,Mesh
27,3,1036,156,131,Mesh
28,3,1401,190,136,Mesh
29,3,1303,207,141,Mesh
30,3,1110,242,146,Mesh
31,3,1108,279,151,Mesh
32,3,1066,329,156,Mesh
33,3,1021,378,161,Mesh
34,3,1018,437,166,Mesh
35,3,1321,503,171,Mesh
36,4,1350,581,176,Mesh
37,4,1136,650,181,Mesh
38,4,1036,742,186,Mesh
39,4,1090,842,191,Mesh
40,4,1091,928,196,Mesh
41,4,1433,1034,201,Mesh
42,4,1409,1118,206,Mesh
43,4,1311,1232,211,Mesh
44,4,1263,1354,216,Mesh
45,4,1307,1462,221,Mesh
46,5,1424,1570,226,Mesh
47,5,942,1674,231,Mesh
48,5,1424,1760,236,Mesh
49,5,1296,1833,241,Mesh
50,5,1307,1909,246,Mesh
51,5,1240,2013,251,Mesh
52,5,1219,2107,256,Mesh
53,5,1361,2232,261,Mesh
54,5,1362,2327,266,Mesh
55,5,1170,2439,271,Mesh
56,6,757,2567,276,Mesh
57,6,852,2687,281,Mesh
58,6,747,2839,286,Mesh
59,6,896,2982,291,Mesh
60,6,848,3120,296,Mesh
61,6,764,3284,301,Mesh
62,6,1215,3455,306,Mesh
63,6,910,3614,311,Mesh
64,6,899,3803,316,Mesh
65,6,898,3973,321,Mesh
66,7,937,4119,326,Mesh
67,7,891,4252,331,Mesh
68,7,917,4401,336,Mesh
69,7,996,4610,341,Mesh
70,7,1127,4801,346,Mesh
71,7,1080,4994,351,Mesh
72,7,943,5214,356,Mesh
73,7,980,5406,361,Mesh
74,7,1051,5610,366,Mesh
75,7,969,5821,371,Mesh
76,8,1214,6010,376,Mesh
77,8,987,6232,381,Mesh
78,8,1240,6450,386,Mesh
79,8,1047,6683,391,Mesh
80,8,1140,6909,396,Mesh
81,8,1082,7181,401,Mesh
82,8,1092,7367,406,Mesh
83,8,975,7592,411,Mesh
84,8,1050,7830,416,Mesh
85,8,1235,8141,421,Mesh
86,9,1094,8398,426,Mesh
87,9,1137,8611,431,Mesh
88,9,731,8885,436,Mesh
89,9,758,9123,441,Mesh
90,9,746,9361,446,Mesh
91,9,784,9619,451,Mesh
92,9,832,9858,456,Mesh
93,9,801,10129,461,Mesh
94,9,1133,10366,466,Mesh
95,10,1046,10640,471,Mesh
96,10,1019,10940,476,Mesh
97,10,976,11230,481,Mesh
98,10,876,11498,486,Mesh
99,10,882,11721,491,Mesh
100,10,962,11987,496,Mesh
101,10,930,12270,501,Mesh
102,10,948,12566,506,Mesh
103,10,933,12871,511,Mesh
104,10,853,13221,516,Mesh
105,11,880,13558,521,Mesh
106,11,871,13925,526,Mesh
107,11,830,14225,531,Mesh
108,11,927,14517,536,Mesh
109,11,900,14830,541,Mesh
110,11,961,15114,546,Mesh
111,11,927,15435,551,Mesh
112,11,900,15744,556,Mesh
113,11,981,16056,561,Mesh
114,11,1057,16404,566,Mesh
115,12,946,16718,571,Mesh
116,12,944,17078,576,Mesh
117,12,945,17460,581,Mesh
118,12,909,17787,586,Mesh
119,12,854,18173,591,Mesh
120,12,663,18519,596,Mesh
121,12,680,18850,601,Mesh
122,12,699,19219,606,Mesh
123,12,767,19598,611,Mesh
124,12,679,20050,616,Mesh
125,13,580,20405,621,Mesh
126,13,726,20793,626,Mesh
127,13,892,21171,631,Mesh
128,13,890,21510,636,Mesh
129,13,946,21854,641,Mesh
130,13,697,22204,646,Mesh
131,13,790,22603,651,Mesh
132,13,797,22963,656,Mesh
133,13,843,23335,661,Mesh
134,13,803,23697,666,Mesh
135,14,867,24091,671,Mesh
136,14,798,24507,676,Mesh
137,14,765,24853,681,Mesh
138,14,743,25257,686,Mesh
139,14,778,25679,691,Mesh
140,14,817,26037,696,Mesh
141,14,681,26443,701,Mesh
142,14,775,26771,706,Mesh
