Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Mesh
2,0,1682,2,6,Mesh
3,0,1566,2,11,Mesh
4,0,1651,2,16,Mesh
5,1,1928,2,21,Mesh
6,1,1821,4,26,Mesh
7,1,1835,6,31,Mesh
8,1,1607,6,36,Mesh
9,1,1491,8,41,Mesh
10,1,1361,12,46,Mesh
11,1,1303,12,51,Mesh
12,1,1838,16,56,Mesh
13,1,1059,24,61,Mesh
14,1,1225,26,66,Mesh
15,2,907,30,71,Mesh
16,2,935,40,76,Mesh
17,2,868,44,81,Mesh
18,2,877,46,86,Mesh
19,2,1447,46,91,Mesh
20,2,1186,54,96,Mesh
21,2,992,62,101,Mesh
22,2,945,69,106,Mesh
23,2,960,76,111,Mesh
24,2,955,94,116,Mesh
25,3,986,111,121,Mesh
26,3,1428,132,126,Mesh
27,3,992,155,131,Mesh
28,3,1054,191,136,Mesh
29,3,1113,214,141,Mesh
30,3,1285,252,146,Mesh
31,3,1453,283,151,Mesh
32,3,1472,334,156,Mesh
33,3,1341,382,161,Mesh
34,3,1325,442,166,Mesh
35,3,1492,518,171,Mesh
36,4,1561,616,176,Mesh
37,4,1396,677,181,Mesh
38,4,1478,779,186,Mesh
39,4,1279,877,191,Mesh
40,4,1276,961,196,Mesh
41,4,1191,1067,201,Mesh
42,4,1257,1168,206,Mesh
43,4,1377,1248,211,Mesh
44,4,1283,1337,216,Mesh
45,4,797,1418,221,Mesh
46,5,958,1511,226,Mesh
47,5,795,1601,231,Mesh
48,5,927,1696,236,Mesh
49,5,959,1786,241,Mesh
50,5,859,1880,246,Mesh
51,5,289,1991,251,Mesh
52,5,1314,2080,256,Mesh
53,5,1265,2216,261,Mesh
54,5,1045,2325,266,Mesh
55,5,998,2442,271,Mesh
56,6,941,2593,276,Mesh
57,6,943,2739,281,Mesh
58,6,1244,2831,286,Mesh
59,6,1242,2986,291,Mesh
60,6,1197,3110,296,Mesh
61,6,983,3288,301,Mesh
62,6,1117,3444,306,Mesh
63,6,1053,3590,311,Mesh
64,6,1105,3763,316,Mesh
65,6,1066,3964,321,Mesh
66,7,1101,4126,326,Mesh
67,7,1157,4276,331,Mesh
68,7,1195,4434,336,Mesh
69,7,1204,4614,341,Mesh
70,7,1153,4793,346,Mesh
71,7,1127,4987,351,Mesh
72,7,1253,5196,356,Mesh
73,7,1222,5412,361,Mesh
74,7,1278,5579,366,Mesh
75,7,1138,5782,371,Mesh
76,8,1124,5987,376,Mesh
77,8,1011,6211,381,Mesh
78,8,1185,6399,386,Mesh
79,8,1125,6586,391,Mesh
80,8,760,6865,396,Mesh
81,8,861,7042,401,Mesh
82,8,1040,7269,406,Mesh
83,8,923,7509,411,Mesh
84,8,859,7787,416,Mesh
85,8,1116,8087,421,Mesh
86,9,1031,8343,426,Mesh
87,9,853,8621,431,Mesh
88,9,847,8888,436,Mesh
89,9,782,9151,441,Mesh
90,9,979,9383,446,Mesh
91,9,822,9643,451,Mesh
92,9,791,9892,456,Mesh
93,9,912,10168,461,Mesh
94,9,923,10407,466,Mesh
95,10,925,10706,471,Mesh
96,10,887,10994,476,Mesh
97,10,984,11267,481,Mesh
98,10,966,11539,486,Mesh
99,10,969,11792,491,Mesh
100,10,999,12025,496,Mesh
101,10,1005,12294,501,Mesh
102,10,1059,12532,506,Mesh
103,10,1040,12840,511,Mesh
104,10,1026,13189,516,Mesh
105,11,920,13501,521,Mesh
106,11,1015,13799,526,Mesh
107,11,974,14091,531,Mesh
108,11,1075,14359,536,Mesh
109,11,1044,14722,541,Mesh
110,11,989,14983,546,Mesh
111,11,1009,15305,551,Mesh
112,11,701,15632,556,Mesh
113,11,666,15914,561,Mesh
114,11,656,16222,566,Mesh
115,12,694,16558,571,Mesh
116,12,596,16828,576,Mesh
117,12,629,17129,581,Mesh
118,12,997,17423,586,Mesh
119,12,979,17773,591,Mesh
120,12,770,18098,596,Mesh
121,12,791,18446,601,Mesh
122,12,749,18815,606,Mesh
123,12,817,19211,611,Mesh
124,12,790,19588,616,Mesh
125,13,763,19909,621,Mesh
126,13,689,20297,626,Mesh
127,13,854,20663,631,Mesh
128,13,742,21065,636,Mesh
129,13,865,21456,641,Mesh
130,13,744,21786,646,Mesh
131,13,774,22158,651,Mesh
132,13,857,22536,656,Mesh
133,13,902,22925,661,Mesh
134,13,840,23325,666,Mesh
135,14,807,23671,671,Mesh
136,14,872,23970,676,Mesh
137,14,846,24349,681,Mesh
138,14,821,24715,686,Mesh
