Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Sphere
2,0,1979,2,6,Sphere
3,0,1521,2,11,Sphere
4,0,1474,2,16,Sphere
5,1,1377,2,21,Sphere
6,1,1974,4,26,Sphere
7,1,1513,6,31,Sphere
8,1,1887,6,36,Sphere
9,1,1555,8,41,Sphere
10,1,1487,12,46,Sphere
11,1,1730,12,51,Sphere
12,1,1343,18,56,Sphere
13,1,1737,26,61,Sphere
14,1,882,28,66,Sphere
15,2,1032,32,71,Sphere
16,2,1096,42,76,Sphere
17,2,958,52,81,Sphere
18,2,1054,54,86,Sphere
19,2,874,58,91,Sphere
20,2,1420,64,96,Sphere
21,2,1138,68,101,Sphere
22,2,1066,79,106,Sphere
23,2,1016,85,111,Sphere
24,2,1220,102,116,Sphere
25,3,1367,119,121,Sphere
26,3,1412,139,126,Sphere
27,3,1368,159,131,Sphere
28,3,1161,196,136,Sphere
29,3,1065,224,141,Sphere
30,3,1103,263,146,Sphere
31,3,1131,296,151,Sphere
32,3,1454,360,156,Sphere
33,3,1476,412,161,Sphere
34,3,1213,460,166,Sphere
35,3,1350,522,171,Sphere
36,4,1305,592,176,Sphere
37,4,1261,657,181,Sphere
38,4,1380,770,186,Sphere
39,4,1380,862,191,Sphere
40,4,1269,942,196,Sphere
41,4,1344,1033,201,Sphere
42,4,1410,1144,206,Sphere
43,4,1179,1222,211,Sphere
44,4,1512,1296,216,Sphere
45,4,1493,1417,221,Sphere
46,5,1336,1528,226,Sphere
47,5,935,1629,231,Sphere
48,5,815,1713,236,Sphere
49,5,877,1793,241,Sphere
50,5,825,1875,246,Sphere
51,5,890,1959,250,Sphere
52,5,959,2073,250,Sphere
53,5,1375,2164,250,Sphere
54,5,1346,2296,250,Sphere
55,5,1045,2416,250,Sphere
56,6,1018,2515,250,Sphere
57,6,999,2646,250,Sphere
58,6,960,2737,250,Sphere
59,6,1368,2870,250,Sphere
60,6,1347,2987,250,Sphere
61,6,1097,3120,250,Sphere
62,6,1024,3241,250,Sphere
63,6,1120,3399,250,Sphere
64,6,1000,3581,250,Sphere
65,6,1082,3737,250,Sphere
66,7,1242,3893,250,Sphere
67,7,1360,4028,250,Sphere
68,7,1209,4176,250,Sphere
69,7,1204,4321,250,Sphere
70,7,1246,4485,250,Sphere
71,7,1239,4642,250,Sphere
72,7,1159,4823,250,Sphere
73,7,1254,4928,250,Sphere
74,7,1340,5071,250,Sphere
75,7,1265,5204,250,Sphere
76,8,1483,5306,250,Sphere
77,8,1243,5380,250,Sphere
78,8,728,5474,250,Sphere
79,8,1339,5568,250,Sphere
80,8,1372,5633,250,Sphere
81,8,1019,5741,250,Sphere
82,8,917,5865,250,Sphere
83,8,863,5964,250,Sphere
84,8,845,6054,250,Sphere
85,8,1052,6135,250,Sphere
86,9,1321,6270,250,Sphere
87,9,1263,6359,250,Sphere
88,9,1006,6477,250,Sphere
89,9,931,6591,250,Sphere
90,9,1087,6693,250,Sphere
91,9,982,6803,250,Sphere
92,9,1262,6924,250,Sphere
93,9,1328,7033,250,Sphere
94,9,1200,7154,250,Sphere
95,10,258,7274,250,Sphere
96,10,936,7377,250,Sphere
97,10,997,7474,250,Sphere
98,10,1204,7578,250,Sphere
99,10,1160,7694,250,Sphere
100,10,892,7818,250,Sphere
