Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Sphere
2,0,1472,2,6,Sphere
3,0,1293,2,11,Sphere
4,0,1237,2,16,Sphere
5,1,1331,2,21,Sphere
6,1,1186,4,26,Sphere
7,1,1531,6,31,Sphere
8,1,1509,6,36,Sphere
9,1,1535,8,41,Sphere
10,1,1420,12,46,Sphere
11,1,1421,12,51,Sphere
12,1,1304,18,56,Sphere
13,1,1639,26,61,Sphere
14,1,1631,28,66,Sphere
15,2,1440,32,71,Sphere
16,2,1380,42,76,Sphere
17,2,1410,52,81,Sphere
18,2,1380,54,86,Sphere
19,2,1803,58,91,Sphere
20,2,1659,64,96,Sphere
21,2,1603,68,101,Sphere
22,2,1362,79,106,Sphere
23,2,1374,85,111,Sphere
24,2,1195,102,116,Sphere
25,3,1592,119,121,Sphere
26,3,1344,139,126,Sphere
27,3,1272,159,131,Sphere
28,3,754,196,136,Sphere
29,3,1314,226,141,Sphere
30,3,802,266,146,Sphere
31,3,835,301,151,Sphere
32,3,973,364,156,Sphere
33,3,796,416,161,Sphere
34,3,767,464,166,Sphere
35,3,1322,522,171,Sphere
36,4,1390,592,176,Sphere
37,4,1019,661,181,Sphere
38,4,1037,784,186,Sphere
39,4,1077,870,191,Sphere
40,4,1075,952,196,Sphere
41,4,1087,1066,201,Sphere
42,4,1400,1163,206,Sphere
43,4,1401,1269,211,Sphere
44,4,1117,1356,216,Sphere
45,4,1042,1458,221,Sphere
46,5,1097,1564,226,Sphere
47,5,1111,1660,231,Sphere
48,5,996,1742,236,Sphere
49,5,1004,1822,241,Sphere
50,5,1174,1905,246,Sphere
51,5,1219,1995,250,Sphere
52,5,1149,2095,250,Sphere
53,5,411,2203,250,Sphere
54,5,1121,2301,250,Sphere
55,5,1072,2417,250,Sphere
56,6,1322,2523,250,Sphere
57,6,1089,2682,250,Sphere
58,6,1065,2812,250,Sphere
59,6,1309,2945,250,Sphere
60,6,1146,3071,250,Sphere
61,6,1091,3203,250,Sphere
62,6,1393,3339,250,Sphere
63,6,844,3467,250,Sphere
64,6,812,3639,250,Sphere
65,6,918,3785,250,Sphere
66,7,934,3955,250,Sphere
67,7,864,4104,250,Sphere
68,7,1385,4258,250,Sphere
69,7,1262,4448,250,Sphere
70,7,974,4570,250,Sphere
71,7,977,4758,250,Sphere
72,7,1098,4903,250,Sphere
73,7,1157,5039,250,Sphere
74,7,1002,5151,250,Sphere
75,7,1139,5251,250,Sphere
76,8,1181,5357,250,Sphere
77,8,1116,5481,250,Sphere
78,8,1049,5583,250,Sphere
79,8,1080,5683,250,Sphere
80,8,1053,5801,250,Sphere
81,8,1180,5899,250,Sphere
82,8,1198,5998,250,Sphere
83,8,1328,6121,250,Sphere
84,8,1204,6253,250,Sphere
85,8,1149,6367,250,Sphere
86,9,1101,6488,250,Sphere
87,9,1061,6626,250,Sphere
88,9,1399,6774,250,Sphere
89,9,1434,6889,250,Sphere
90,9,1381,6989,250,Sphere
91,9,1234,7097,250,Sphere
92,9,1264,7207,250,Sphere
93,9,1172,7301,250,Sphere
94,9,1424,7405,250,Sphere
95,10,1424,7509,250,Sphere
96,10,922,7618,250,Sphere
97,10,1044,7737,250,Sphere
98,10,943,7851,250,Sphere
99,10,729,7974,250,Sphere
100,10,1013,8111,250,Sphere
