Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Sphere
2,0,1471,2,6,Sphere
3,0,1713,2,11,Sphere
4,0,1633,2,16,Sphere
5,1,1955,2,21,Sphere
6,1,2098,4,26,Sphere
7,1,1568,6,31,Sphere
8,1,1970,6,36,Sphere
9,1,1438,8,41,Sphere
10,1,1544,12,46,Sphere
11,1,1488,12,51,Sphere
12,1,1857,18,56,Sphere
13,1,1855,26,61,Sphere
14,1,1178,28,66,Sphere
15,2,907,32,71,Sphere
16,2,961,42,76,Sphere
17,2,800,52,81,Sphere
18,2,868,54,86,Sphere
19,2,1292,58,91,Sphere
20,2,1128,64,96,Sphere
21,2,1213,68,101,Sphere
22,2,1205,79,106,Sphere
23,2,916,85,111,Sphere
24,2,1068,102,116,Sphere
25,3,1419,119,121,Sphere
26,3,1256,139,126,Sphere
27,3,1126,158,131,Sphere
28,3,1171,195,136,Sphere
29,3,1179,222,141,Sphere
30,3,1125,265,146,Sphere
31,3,1384,295,151,Sphere
32,3,1266,363,156,Sphere
33,3,1319,408,161,Sphere
34,3,1207,453,166,Sphere
35,3,1241,513,171,Sphere
36,4,1524,580,176,Sphere
37,4,1457,659,181,Sphere
38,4,1481,766,186,Sphere
39,4,1347,846,191,Sphere
40,4,1173,927,196,Sphere
41,4,1270,1037,201,Sphere
42,4,1412,1135,206,Sphere
43,4,1091,1232,211,Sphere
44,4,1211,1340,216,Sphere
45,4,264,1445,221,Sphere
46,5,997,1525,226,Sphere
47,5,1003,1618,231,Sphere
48,5,929,1715,236,Sphere
49,5,1063,1798,241,Sphere
50,5,957,1879,246,Sphere
51,5,814,1947,250,Sphere
52,5,1056,2050,250,Sphere
53,5,1195,2150,250,Sphere
54,5,974,2247,250,Sphere
55,5,924,2377,250,Sphere
56,6,987,2476,250,Sphere
57,6,986,2616,250,Sphere
58,6,989,2749,250,Sphere
59,6,1237,2899,250,Sphere
60,6,1184,3020,250,Sphere
61,6,1071,3135,250,Sphere
62,6,1083,3292,250,Sphere
63,6,1007,3434,250,Sphere
64,6,1357,3606,250,Sphere
65,6,1243,3765,250,Sphere
66,7,1272,3946,250,Sphere
67,7,1164,4117,250,Sphere
68,7,1433,4267,250,Sphere
69,7,1098,4440,250,Sphere
70,7,1318,4583,250,Sphere
71,7,1024,4778,250,Sphere
72,7,1362,4933,250,Sphere
73,7,1432,5042,250,Sphere
74,7,1230,5163,250,Sphere
75,7,1422,5264,250,Sphere
76,8,1376,5413,250,Sphere
77,8,1124,5529,250,Sphere
78,8,782,5634,250,Sphere
79,8,1103,5754,250,Sphere
80,8,859,5878,250,Sphere
81,8,944,5971,250,Sphere
82,8,792,6077,250,Sphere
83,8,957,6177,250,Sphere
84,8,832,6299,250,Sphere
85,8,1121,6391,250,Sphere
86,9,1406,6492,250,Sphere
87,9,1025,6603,250,Sphere
88,9,1055,6714,250,Sphere
89,9,998,6837,250,Sphere
90,9,1137,6962,250,Sphere
91,9,1382,7087,250,Sphere
92,9,1124,7203,250,Sphere
93,9,1301,7302,250,Sphere
94,9,1106,7406,250,Sphere
95,10,1122,7523,250,Sphere
96,10,960,7652,250,Sphere
97,10,1323,7751,250,Sphere
98,10,1169,7867,250,Sphere
99,10,1181,7976,250,Sphere
100,10,1257,8100,250,Sphere
