Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Sphere
2,0,1425,2,6,Sphere
3,0,1125,2,11,Sphere
4,0,1053,2,16,Sphere
5,1,1365,2,21,Sphere
6,1,1216,4,26,Sphere
7,1,1175,6,31,Sphere
8,1,1429,6,36,Sphere
9,1,1406,8,41,Sphere
10,1,1298,12,46,Sphere
11,1,1275,12,51,Sphere
12,1,1305,18,56,Sphere
13,1,1588,26,61,Sphere
14,1,1612,28,66,Sphere
15,2,1404,32,71,Sphere
16,2,1283,42,76,Sphere
17,2,1342,52,81,Sphere
18,2,1895,54,86,Sphere
19,2,1581,58,91,Sphere
20,2,1687,64,96,Sphere
21,2,1489,68,101,Sphere
22,2,1404,79,106,Sphere
23,2,1241,85,111,Sphere
24,2,552,102,116,Sphere
25,3,1663,119,121,Sphere
26,3,1311,139,126,Sphere
27,3,1277,159,131,Sphere
28,3,801,196,136,Sphere
29,3,996,226,141,Sphere
30,3,949,262,146,Sphere
31,3,884,300,151,Sphere
32,3,804,364,156,Sphere
33,3,916,415,161,Sphere
34,3,761,452,166,Sphere
35,3,1196,517,171,Sphere
36,4,361,592,176,Sphere
37,4,431,657,181,Sphere
38,4,1010,773,186,Sphere
39,4,1148,866,191,Sphere
40,4,988,934,196,Sphere
41,4,1396,1016,201,Sphere
42,4,1220,1119,206,Sphere
43,4,1209,1212,211,Sphere
44,4,1170,1311,216,Sphere
45,4,1087,1409,221,Sphere
46,5,1210,1504,226,Sphere
47,5,1056,1600,231,Sphere
48,5,986,1694,236,Sphere
49,5,1286,1782,241,Sphere
50,5,1261,1881,246,Sphere
51,5,1310,1966,250,Sphere
52,5,1243,2051,250,Sphere
53,5,1173,2182,250,Sphere
54,5,1085,2316,250,Sphere
55,5,1120,2435,250,Sphere
56,6,1365,2535,250,Sphere
57,6,1088,2673,250,Sphere
58,6,1229,2767,250,Sphere
59,6,1207,2895,250,Sphere
60,6,704,2985,250,Sphere
61,6,1142,3104,250,Sphere
62,6,832,3273,250,Sphere
63,6,1031,3428,250,Sphere
64,6,768,3600,250,Sphere
65,6,943,3742,250,Sphere
66,7,776,3918,250,Sphere
67,7,769,4050,250,Sphere
68,7,1066,4184,250,Sphere
69,7,1086,4331,250,Sphere
70,7,1145,4510,250,Sphere
71,7,938,4705,250,Sphere
72,7,781,4848,250,Sphere
73,7,884,5019,250,Sphere
74,7,789,5133,250,Sphere
75,7,802,5256,250,Sphere
76,8,845,5356,250,Sphere
77,8,838,5485,250,Sphere
78,8,914,5622,250,Sphere
79,8,851,5717,250,Sphere
80,8,871,5813,250,Sphere
81,8,937,5913,250,Sphere
82,8,852,6000,250,Sphere
83,8,879,6111,250,Sphere
84,8,1022,6213,250,Sphere
85,8,910,6310,250,Sphere
86,9,889,6445,250,Sphere
87,9,925,6580,250,Sphere
88,9,974,6680,250,Sphere
89,9,882,6778,250,Sphere
90,9,853,6895,250,Sphere
91,9,919,6983,250,Sphere
92,9,877,7104,250,Sphere
93,9,641,7206,250,Sphere
94,9,647,7315,250,Sphere
95,10,646,7424,250,Sphere
96,10,668,7537,250,Sphere
97,10,692,7629,250,Sphere
98,10,871,7744,250,Sphere
99,10,666,7826,250,Sphere
100,10,647,7938,250,Sphere
