Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Sphere
2,0,1718,2,6,Sphere
3,0,1850,2,11,Sphere
4,0,1610,2,16,Sphere
5,1,1654,2,21,Sphere
6,1,1858,4,26,Sphere
7,1,1672,6,31,Sphere
8,1,1426,6,36,Sphere
9,1,1361,8,41,Sphere
10,1,1337,12,46,Sphere
11,1,1507,12,51,Sphere
12,1,1629,18,56,Sphere
13,1,1789,26,61,Sphere
14,1,1145,28,66,Sphere
15,2,939,32,71,Sphere
16,2,966,42,76,Sphere
17,2,979,52,81,Sphere
18,2,994,54,86,Sphere
19,2,862,58,91,Sphere
20,2,1243,64,96,Sphere
21,2,1065,68,101,Sphere
22,2,1072,79,106,Sphere
23,2,1169,85,111,Sphere
24,2,1106,102,116,Sphere
25,3,1557,119,121,Sphere
26,3,1437,139,126,Sphere
27,3,1271,158,131,Sphere
28,3,1122,195,136,Sphere
29,3,1086,223,141,Sphere
30,3,1187,262,146,Sphere
31,3,1153,295,151,Sphere
32,3,1362,361,156,Sphere
33,3,1266,409,161,Sphere
34,3,1307,461,166,Sphere
35,3,1236,522,171,Sphere
36,4,1232,591,176,Sphere
37,4,1429,656,181,Sphere
38,4,1468,788,186,Sphere
39,4,1322,876,191,Sphere
40,4,1361,957,196,Sphere
41,4,1293,1051,201,Sphere
42,4,1297,1156,206,Sphere
43,4,1515,1247,211,Sphere
44,4,1438,1352,216,Sphere
45,4,1375,1469,221,Sphere
46,5,1446,1564,226,Sphere
47,5,1017,1659,231,Sphere
48,5,868,1736,236,Sphere
49,5,921,1820,241,Sphere
50,5,1027,1912,246,Sphere
51,5,878,2004,250,Sphere
52,5,1206,2110,250,Sphere
53,5,1175,2220,250,Sphere
54,5,956,2344,250,Sphere
55,5,1018,2473,250,Sphere
56,6,982,2577,250,Sphere
57,6,1021,2717,250,Sphere
58,6,966,2842,250,Sphere
59,6,1106,2974,250,Sphere
60,6,1155,3117,250,Sphere
61,6,925,3250,250,Sphere
62,6,966,3417,250,Sphere
63,6,1167,3561,250,Sphere
64,6,1039,3711,250,Sphere
65,6,1084,3893,250,Sphere
66,7,1223,4031,250,Sphere
67,7,1254,4183,250,Sphere
68,7,1097,4324,250,Sphere
69,7,1223,4484,250,Sphere
70,7,1159,4663,250,Sphere
71,7,1187,4821,250,Sphere
72,7,1356,4955,250,Sphere
73,7,1277,5096,250,Sphere
74,7,1245,5219,250,Sphere
75,7,1142,5344,250,Sphere
76,8,1175,5455,250,Sphere
77,8,1416,5542,250,Sphere
78,8,725,5680,250,Sphere
79,8,765,5780,250,Sphere
80,8,1385,5883,250,Sphere
81,8,843,5990,250,Sphere
82,8,789,6088,250,Sphere
83,8,938,6182,250,Sphere
84,8,961,6267,250,Sphere
85,8,1255,6379,250,Sphere
86,9,1367,6466,250,Sphere
87,9,910,6550,250,Sphere
88,9,910,6655,250,Sphere
89,9,1072,6777,250,Sphere
90,9,1075,6893,250,Sphere
91,9,1002,7004,250,Sphere
92,9,1209,7131,250,Sphere
93,9,1284,7237,250,Sphere
94,9,1069,7351,250,Sphere
95,10,1077,7450,250,Sphere
96,10,1088,7561,250,Sphere
97,10,1001,7673,250,Sphere
98,10,1137,7799,250,Sphere
99,10,1327,7922,250,Sphere
100,10,1190,8045,250,Sphere
